time,solar_generation_kw,mall_demand_kw,chargers_demand_kw,total_demand_kw,net_power_kw,power_in_kw,power_out_kw,soc_kwh,soc_pct
2024-02-13 19:00:00,0.0,2209,281.20000000000005,2490.2,-2490.2,0.0,4.981825000000072,170.0,10.0
2024-02-13 20:00:00,0.0,2162,281.20000000000005,2443.2,-2443.2,0.0,0.0,170.0,10.0
2024-02-13 21:00:00,0.0,1954,281.20000000000005,2235.2,-2235.2,0.0,0.0,170.0,10.0
2024-02-13 22:00:00,0.0,1137,281.20000000000005,1418.2,-1418.2,0.0,0.0,170.0,10.0
2024-02-13 23:00:00,0.0,721,281.20000000000005,1002.2,-1002.2,0.0,0.0,170.0,10.0
2024-02-14 00:00:00,0.0,663,281.20000000000005,944.2,-944.2,0.0,0.0,170.0,10.0
2024-02-14 01:00:00,0.0,611,281.20000000000005,892.2,-892.2,0.0,0.0,170.0,10.0
2024-02-14 02:00:00,0.0,640,281.20000000000005,921.2,-921.2,0.0,0.0,170.0,10.0
2024-02-14 03:00:00,0.0,652,281.20000000000005,933.2,-933.2,0.0,0.0,170.0,10.0
2024-02-14 04:00:00,0.0,645,281.20000000000005,926.2,-926.2,0.0,0.0,170.0,10.0
2024-02-14 05:00:00,0.0,595,281.20000000000005,876.2,-876.2,0.0,0.0,170.0,10.0
2024-02-14 06:00:00,0.0,638,281.20000000000005,919.2,-919.2,0.0,0.0,170.0,10.0
2024-02-14 07:00:00,244.86170004758748,765,281.20000000000005,1046.2,-801.3382999524126,0.0,0.0,170.0,10.0
2024-02-14 08:00:00,598.2359260529367,959,281.20000000000005,1240.2,-641.9640739470633,0.0,0.0,170.0,10.0
2024-02-14 09:00:00,1205.377325509092,1113,281.20000000000005,1394.2,-188.82267449090796,0.0,0.0,170.0,10.0
2024-02-14 10:00:00,1545.5650038316649,1676,281.20000000000005,1957.2,-411.6349961683352,0.0,0.0,170.0,10.0
2024-02-14 11:00:00,2722.0571212957307,1989,281.20000000000005,2270.2,451.85712129573085,342.0,0.0,494.9,29.111764705882354
2024-02-14 12:00:00,2289.666216716042,2074,281.20000000000005,2355.2,-65.53378328395775,0.0,65.53378328395775,425.91707022741286,25.053945307494875
2024-02-14 13:00:00,2886.689477778584,2092,281.20000000000005,2373.2,513.4894777785844,342.0,0.0,750.8170702274128,44.16571001337722
2024-02-14 14:00:00,2886.689477778584,2157,281.20000000000005,2438.2,448.4894777785844,342.0,0.0,1075.717070227413,63.27747471925959
2024-02-14 15:00:00,2333.4795584825392,2074,281.20000000000005,2355.2,-21.720441517460586,0.0,21.720441517460586,1052.8534475774545,61.93255573985027
2024-02-14 16:00:00,1718.3081031611414,2261,281.20000000000005,2542.2,-823.8918968388584,0.0,342.0,692.8534475774545,40.756085151614975
2024-02-14 17:00:00,338.719284677051,2260,281.20000000000005,2541.2,-2202.480715322949,0.0,342.0,332.8534475774545,19.57961456337968
2024-02-14 18:00:00,0.0,2212,281.20000000000005,2493.2,-2493.2,0.0,162.85344757745452,170.0,10.0
2024-02-14 19:00:00,0.0,2164,281.20000000000005,2445.2,-2445.2,0.0,0.0,170.0,10.0
2024-02-14 20:00:00,0.0,2105,281.20000000000005,2386.2,-2386.2,0.0,0.0,170.0,10.0
2024-02-14 21:00:00,0.0,1914,281.20000000000005,2195.2,-2195.2,0.0,0.0,170.0,10.0
2024-02-14 22:00:00,0.0,1223,281.20000000000005,1504.2,-1504.2,0.0,0.0,170.0,10.0
2024-02-14 23:00:00,0.0,732,281.20000000000005,1013.2,-1013.2,0.0,0.0,170.0,10.0
2024-02-15 00:00:00,0.0,611,281.20000000000005,892.2,-892.2,0.0,0.0,170.0,10.0
2024-02-15 01:00:00,0.0,635,281.20000000000005,916.2,-916.2,0.0,0.0,170.0,10.0
2024-02-15 02:00:00,0.0,653,281.20000000000005,934.2,-934.2,0.0,0.0,170.0,10.0
2024-02-15 03:00:00,0.0,612,281.20000000000005,893.2,-893.2,0.0,0.0,170.0,10.0
2024-02-15 04:00:00,0.0,585,281.20000000000005,866.2,-866.2,0.0,0.0,170.0,10.0
2024-02-15 05:00:00,0.0,542,281.20000000000005,823.2,-823.2,0.0,0.0,170.0,10.0
2024-02-15 06:00:00,0.0,595,281.20000000000005,876.2,-876.2,0.0,0.0,170.0,10.0
2024-02-15 07:00:00,446.0822894103145,679,281.20000000000005,960.2,-514.1177105896855,0.0,0.0,170.0,10.0
2024-02-15 08:00:00,1218.6978760327495,875,281.20000000000005,1156.2,62.497876032749446,62.497876032749446,0.0,229.37298223111196,13.492528366535996
2024-02-15 09:00:00,2103.4489673905564,1089,281.20000000000005,1370.2,733.2489673905563,342.0,0.0,554.2729822311119,32.60429307241834
2024-02-15 10:00:00,2530.687186943197,1556,281.20000000000005,1837.2,693.487186943197,342.0,0.0,879.1729822311119,51.716057778300694
2024-02-15 11:00:00,2886.689477778584,1928,281.20000000000005,2209.2,677.4894777785844,342.0,0.0,1204.0729822311118,70.82782248418305
2024-02-15 12:00:00,2886.689477778584,2010,281.20000000000005,2291.2,595.4894777785844,342.0,0.0,1528.972982231112,89.93958719006541
2024-02-15 13:00:00,1154.814047423372,2047,281.20000000000005,2328.2,-1173.385952576628,0.0,342.0,1168.972982231112,68.7631166018301
2024-02-15 14:00:00,1386.2354873542056,2058,281.20000000000005,2339.2,-952.9645126457942,0.0,342.0,808.9729822311119,47.586646013594816
2024-02-15 15:00:00,1291.231190074194,2085,281.20000000000005,2366.2,-1074.9688099258058,0.0,342.0,448.9729822311119,26.410175425359526
2024-02-15 16:00:00,721.3701905138606,1872,281.20000000000005,2153.2,-1431.8298094861393,0.0,278.9729822311119,170.0,10.0
2024-02-15 17:00:00,163.1373700155056,1604,281.20000000000005,1885.2,-1722.0626299844944,0.0,0.0,170.0,10.0
2024-02-15 18:00:00,0.0,2013,281.20000000000005,2294.2,-2294.2,0.0,0.0,170.0,10.0
