pv_kwh,ev_kwh,mall_kwh,load_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,grid_export_kwh,bess_action_kwh,bess_mode,bess_to_ev_kwh,bess_to_mall_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_import_kwh,soc_percent,soc_kwh,co2_avoided_indirect_kg,tariff_period,tariff_rate_soles_kwh,cost_if_grid_import_soles,cost_avoided_by_bess_soles,cost_savings_hp_soles,cost_savings_hfp_soles,tariff_index_hp_hfp,ev_demand_after_bess_kwh,mall_demand_after_bess_kwh,load_after_bess_kwh,bess_energy_stored_hourly_kwh,bess_energy_delivered_hourly_kwh,bess_balance_error_hourly_kwh,bess_balance_error_hourly_percent,bess_validation_status_hourly,mall_grid_import_kwh,pv_generation_kw,mall_demand_kw,ev_demand_kw,total_demand_kw,bess_charge_kw,bess_discharge_kw,ev_demand_after_bess_kw,mall_demand_after_bess_kw,demand_from_grid_kw,grid_export_kw,pv_to_ev_kw,pv_to_bess_kw,pv_to_mall_kw,pv_to_demand_kw,bess_soc_percent,bess_soc_kwh,pv_to_grid_kw,ev_from_grid_kw,mall_from_grid_kw,co2_avoided_kg,co2_from_grid_kg,co2_from_grid_ev_kg,co2_from_grid_mall_kg
2886.689477778584,64.232,708,772.232,64.232,267.40428574794794,708.0,1840.1064693463968,274.3510084321873,charge,0.0,0.0,0.0,0.0,0.0,100.0,2000.0,0.0,HFP,0.28,216.22496,0.0,0.0,74.87320000942543,1.0,64.232,708.0,772.232,267.40428574794794,0.0,-267.40428574794794,100.0,CRITICAL,0.0,2886.689477778584,708,64.232,772.232,267.40428574794794,0.0,64.232,708.0,0.0,1840.1064693463968,64.232,267.40428574794794,708.0,772.232,100.0,2000.0,1840.1064693463968,64.232,708.0,0.0,0.0,0.0,0.0
2886.689477778584,73.40799999999999,711,784.408,73.40799999999999,0.0,711.0,2102.2814777785843,0.0,idle,0.0,0.0,0.0,0.0,0.0,100.0,2000.0,0.0,HFP,0.28,219.63424000000003,0.0,0.0,0.0,1.0,73.40799999999999,711.0,784.408,0.0,0.0,0.0,0.0,OK,0.0,2886.689477778584,711,73.40799999999999,784.408,0.0,0.0,73.40799999999999,711.0,0.0,2102.2814777785843,73.40799999999999,0.0,711.0,784.408,100.0,2000.0,2102.2814777785843,73.40799999999999,711.0,0.0,0.0,0.0,0.0
2886.689477778584,68.82,914,982.82,68.82,0.0,914.0,1903.869477778584,0.0,idle,0.0,0.0,0.0,0.0,0.0,100.0,2000.0,0.0,HFP,0.28,275.1896,0.0,0.0,0.0,1.0,68.82,914.0,982.82,0.0,0.0,0.0,0.0,OK,0.0,2886.689477778584,914,68.82,982.82,0.0,0.0,68.82,914.0,0.0,1903.869477778584,68.82,0.0,914.0,982.8199999999999,100.0,2000.0,1903.869477778584,68.82,914.0,0.0,0.0,0.0,0.0
1407.6952566845382,82.58399999999997,1003,1085.584,82.58399999999997,0.0,1003.0,322.11125668453815,0.0,idle,0.0,0.0,0.0,0.0,0.0,100.0,2000.0,0.0,HFP,0.28,303.9635200000001,0.0,0.0,0.0,1.0,82.58399999999997,1003.0,1085.584,0.0,0.0,0.0,0.0,OK,0.0,1407.6952566845382,1003,82.58399999999997,1085.584,0.0,0.0,82.58399999999997,1003.0,0.0,322.11125668453815,82.58399999999997,0.0,1003.0,1085.584,100.0,2000.0,322.11125668453815,82.58399999999997,1003.0,0.0,0.0,0.0,0.0
1357.888944350109,91.75999999999996,1017,1108.76,91.75999999999996,0.0,1017.0,249.12894435010912,0.0,idle,0.0,0.0,0.0,0.0,0.0,100.0,2000.0,0.0,HFP,0.28,310.4528,0.0,0.0,0.0,1.0,91.75999999999996,1017.0,1108.76,0.0,0.0,0.0,0.0,OK,0.0,1357.888944350109,1017,91.75999999999996,1108.76,0.0,0.0,91.75999999999996,1017.0,0.0,249.12894435010912,91.75999999999996,0.0,1017.0,1108.76,100.0,2000.0,249.12894435010912,91.75999999999996,1017.0,0.0,0.0,0.0,0.0
1578.0332718828888,55.056,1037,1092.056,55.056,0.0,1037.0,485.9772718828888,0.0,idle,0.0,0.0,0.0,0.0,0.0,100.0,2000.0,0.0,HFP,0.28,305.77568,0.0,0.0,0.0,1.0,55.056,1037.0,1092.056,0.0,0.0,0.0,0.0,OK,0.0,1578.0332718828888,1037,55.056,1092.056,0.0,0.0,55.056,1037.0,0.0,485.9772718828888,55.056,0.0,1037.0,1092.056,100.0,2000.0,485.9772718828888,55.056,1037.0,0.0,0.0,0.0,0.0
873.4389981102496,82.58399999999997,1027,1109.584,82.58399999999997,0.0,790.8549981102497,0.0,0.0,idle,0.0,0.0,0.0,236.14500188975035,236.14500188975035,100.0,2000.0,0.0,HFP,0.28,310.68352000000004,0.0,0.0,0.0,1.0,82.58399999999997,1027.0,1109.584,0.0,0.0,0.0,0.0,OK,236.14500188975035,873.4389981102496,1027,82.58399999999997,1109.584,0.0,0.0,82.58399999999997,1027.0,236.14500188975035,0.0,82.58399999999997,0.0,790.8549981102497,873.4389981102496,100.0,2000.0,0.0,82.58399999999997,1027.0,0.0,106.76115535435613,0.0,106.76115535435613
179.73766390238518,133.0519999999999,1020,1153.052,133.0519999999999,0.0,46.68566390238527,0.0,0.0,idle,0.0,0.0,0.0,973.3143360976148,973.3143360976148,100.0,2000.0,0.0,HFP,0.28,322.85456,0.0,0.0,0.0,1.0,133.0519999999999,1020.0,1153.052,0.0,0.0,0.0,0.0,OK,973.3143360976148,179.73766390238518,1020,133.0519999999999,1153.052,0.0,0.0,133.0519999999999,1020.0,973.3143360976148,0.0,133.0519999999999,0.0,46.68566390238527,179.73766390238518,100.0,2000.0,0.0,133.0519999999999,1020.0,0.0,440.03541134973165,0.0,440.03541134973165
0.0,151.40399999999988,1058,1209.404,0.0,0.0,0.0,0.0,155.33722641910057,discharge,151.40399999999988,0.0,0.0,1058.0,1058.0,92.23313867904496,1844.6627735808995,68.44974839999995,HP,0.45,544.2318,68.13179999999996,25.738679999999977,0.0,1.607142857142857,0.0,1058.0,1058.0,0.0,151.40399999999988,151.40399999999988,15140.399999999989,CRITICAL,1058.0,0.0,1058,151.40399999999988,1209.404,0.0,151.40399999999988,0.0,1058.0,1058.0,0.0,0.0,0.0,0.0,0.0,92.23313867904496,1844.6627735808995,0.0,0.0,1058.0,68.44974839999995,478.3218,0.0,478.3218
0.0,155.99199999999988,1071,1226.992,0.0,0.0,0.0,0.0,160.04441509846723,discharge,155.99199999999988,0.0,0.0,1071.0,1071.0,84.23091792412161,1684.618358482432,70.52398319999995,HP,0.45,552.1464,70.19639999999994,26.518639999999976,0.0,1.607142857142857,0.0,1071.0,1071.0,0.0,155.99199999999988,155.99199999999988,15599.199999999988,CRITICAL,1071.0,0.0,1071,155.99199999999988,1226.992,0.0,155.99199999999988,0.0,1071.0,1071.0,0.0,0.0,0.0,0.0,0.0,84.23091792412161,1684.618358482432,0.0,0.0,1071.0,70.52398319999995,484.1991,0.0,484.1991
