datetime,pv_generation_kwh,ev_demand_kwh,mall_demand_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,pv_curtailed_kwh,bess_charge_kwh,bess_discharge_kwh,bess_to_ev_kwh,bess_to_mall_kwh,grid_to_ev_kwh,grid_to_mall_kwh,grid_to_bess_kwh,grid_import_total_kwh,bess_soc_percent,tariff_osinergmin_soles_kwh,cost_grid_import_soles,peak_reduction_savings_soles,peak_reduction_savings_normalized,co2_avoided_indirect_kg,co2_avoided_indirect_normalized,mall_grid_import_kwh,bess_action_kwh,bess_mode
2024-01-01 00:00:00,0.0,0.0,531.1095890410959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.1095890410959,0.0,531.1095890410959,24.057589234321025,0.28,148.71068493150688,0.0,0.0,0.0,0.0,531.1095890410959,0.0,idle
2024-01-01 01:00:00,0.0,0.0,483.0383561643836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0383561643836,0.0,483.0383561643836,24.057589234321025,0.28,135.2507397260274,0.0,0.0,0.0,0.0,483.0383561643836,0.0,idle
2024-01-01 02:00:00,0.0,0.0,469.65205479452055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.65205479452055,0.0,469.65205479452055,24.057589234321025,0.28,131.50257534246575,0.0,0.0,0.0,0.0,469.65205479452055,0.0,idle
2024-01-01 03:00:00,0.0,0.0,459.66301369863015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.66301369863015,0.0,459.66301369863015,24.057589234321025,0.28,128.70564383561646,0.0,0.0,0.0,0.0,459.66301369863015,0.0,idle
2024-01-01 04:00:00,0.0,0.0,453.4849315068493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.4849315068493,0.0,453.4849315068493,24.057589234321025,0.28,126.97578082191782,0.0,0.0,0.0,0.0,453.4849315068493,0.0,idle
2024-01-01 05:00:00,0.0,0.0,434.57260273972605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.57260273972605,0.0,434.57260273972605,24.057589234321025,0.28,121.68032876712331,0.0,0.0,0.0,0.0,434.57260273972605,0.0,idle
2024-01-01 06:00:00,144.18146501620757,0.0,513.6575342465753,0.0,0.6409119281596332,143.54055308804794,0.0,0.6409119281596332,0.0,0.0,0.0,0.0,370.1169811585274,0.0,370.1169811585274,24.094335332891067,0.28,103.63275472438768,0.0,0.0,0.0,0.0,370.1169811585274,,charge
2024-01-01 07:00:00,1098.1227024433772,0.0,660.4301369863014,0.0,279.0345747531141,618.7979014083622,0.0,279.0345747531141,0.0,0.0,0.0,0.0,41.63223557793915,0.0,41.63223557793915,40.092527187066516,0.28,11.657025961822962,0.0,0.0,0.0,0.0,41.63223557793915,,charge
2024-01-01 08:00:00,2137.977860921822,0.0,868.1342465753424,0.0,357.4206284771287,844.8596869387275,0.0,357.4206284771287,0.0,0.0,0.0,0.0,23.274559636615038,0.0,23.274559636615038,60.13930423038639,0.28,6.516876698252211,0.0,0.0,0.0,0.0,23.274559636615038,,charge
2024-01-01 09:00:00,2566.341640520901,29.488898630136987,1120.8794520547945,29.488898630136987,352.60809677363204,1103.7721186714675,75.19455070810264,352.60809677363204,0.0,0.0,0.0,0.0,17.107333383326985,0.0,17.107333383326985,79.76429253547403,0.28,4.790053347331557,0.0,0.0,0.0,0.0,17.107333383326985,,charge
