ev_is_hora_punta,ev_tarifa_aplicada_soles,ev_energia_total_kwh,ev_costo_carga_soles,ev_energia_motos_kwh,ev_energia_mototaxis_kwh,ev_co2_reduccion_motos_kg,ev_co2_reduccion_mototaxis_kg,ev_reduccion_directa_co2_kg,ev_demand_kwh,solar_is_hora_punta,solar_tarifa_aplicada_soles,solar_ahorro_soles,solar_reduccion_indirecta_co2_kg,solar_co2_mall_kg,solar_co2_ev_kg,bess_soc_percent,bess_charge_kwh,bess_discharge_kwh,bess_to_mall_kwh,bess_to_ev_kwh,mall_demand_kwh,mall_demand_reduction_kwh,mall_cost_soles,total_reduccion_co2_kg,total_costo_soles,total_ahorro_soles
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.659,0.0,0.18451999,0.0,184.52,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.604,0.0,0.16912,0.0,169.12,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.567,0.0,0.15876,0.0,158.76,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.577,0.0,0.16156,0.0,161.56,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.588,0.0,0.16464,0.0,164.64,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.567,0.0,0.15876,0.0,158.76,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,19.098156,30.836702,0.0,0.0,23.910625,68.2077,0.0,0.0,0.0,0.684,0.0,0.19152,0.0,191.52,19.098156
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,83.57833,134.94916,0.0,0.0,41.02451,298.49402,0.0,0.0,0.0,0.8,0.0,0.224,0.0,224.0,83.57833
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,274.6798,443.5098,262.6698,0.0,63.95814,400.0,0.0,0.0,0.0,1.168,580.9993,0.32704,0.0,164.36018,274.6798
0,0.28,281.20000000000005,78.736,222.0,59.2,17.423573,7.467245,24.890818,281.20000000000005,0,0.28,582.2389,940.1079,638.3652,24.890818,86.89178,400.0,0.0,0.0,0.0,1.412,1412.0,0.39536,0.0,0.0,582.2389
0,0.28,281.20000000000005,78.736,222.0,59.2,14.519644,6.2227044,20.742348,281.20000000000005,0,0.28,808.2731,1305.0723,916.8588,20.742348,100.0,400.0,0.0,0.0,0.0,2.028,2028.0,0.56784004,0.0,0.0,808.2731
0,0.28,281.20000000000005,78.736,222.0,59.2,17.423573,7.467245,24.890818,281.20000000000005,0,0.28,808.2731,1305.0723,1111.7139,24.890818,100.0,0.0,0.0,0.0,0.0,2.459,2459.0,0.68852,0.0,0.0,808.2731
0,0.28,281.20000000000005,78.736,222.0,59.2,20.327501,8.711786,29.039288,281.20000000000005,0,0.28,808.2731,1305.0723,1136.5793,29.039288,100.0,0.0,0.0,0.0,0.0,2.514,2514.0,0.70392,0.0,0.0,808.2731
0,0.28,281.20000000000005,78.736,222.0,59.2,24.683393,10.578597,35.26199,281.20000000000005,0,0.28,436.47827,704.75653,669.4945,35.261993,75.85933,0.0,400.0,400.0,0.0,2.546,1480.855,0.71288,180.84,186.24062,436.47827
0,0.28,281.20000000000005,78.736,222.0,59.2,26.135359,11.200868,37.336227,281.20000000000005,0,0.28,611.6326,987.5683,769.392,37.336227,98.79297,400.0,0.0,0.0,0.0,2.573,1701.8184,0.72044,0.0,243.93088,611.6326
0,0.28,281.20000000000005,78.736,222.0,59.2,24.683393,10.578597,35.26199,281.20000000000005,0,0.28,436.4389,704.69293,488.59094,35.261993,100.0,400.0,0.0,0.0,0.0,2.565,1080.7144,0.7182,0.0,415.59998,436.4389
0,0.28,281.20000000000005,78.736,222.0,59.2,31.943216,13.68995,45.633167,281.20000000000005,0,0.28,309.52084,499.76562,454.13245,45.633167,75.85933,0.0,400.0,400.0,0.0,2.583,1004.4956,0.72323996,180.84,329.98123,309.52084
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,67.723785,109.34973,0.0,0.0,89.72677,241.87068,0.0,0.0,0.0,2.559,0.0,0.71652,0.0,743.49744,67.723785
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,65.5861,0.0,400.0,289.888,110.112,2.445,0.0,1.10025,180.84,969.8004,0.0
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,41.44543,0.0,400.0,271.536,128.464,2.386,0.0,1.0737,180.84,951.5088,0.0
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,20.0,0.0,400.0,231.46518,123.876,2.288,0.0,1.0296,160.64975,925.4407,0.0
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.089,0.0,0.94005,0.0,997.8588,0.0
1,0.45,281.20000000000005,126.54,222.0,59.2,0.0,0.0,0.0,281.20000000000005,1,0.45,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.216,0.0,0.54719996,0.0,370.02673,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.731,0.0,0.20468,0.0,204.68,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.659,0.0,0.18451999,0.0,184.52,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.594,0.0,0.16632,0.0,166.32,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.605,0.0,0.1694,0.0,169.4,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.553,0.0,0.15483999,0.0,154.84,0.0
0,0.28,281.20000000000005,78.736,222.0,59.2,0.0,0.0,0.0,281.20000000000005,0,0.28,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.563,0.0,0.15764001,0.0,157.64,0.0
