timestamp,hour,minute,day,pv_power_kw,pv_energy_kwh,demand_kw,demand_kwh
2024-01-01 15:00:00-05:00,15,0,0,119.1316207204842,29.78290518012105,24.6349,6.1587
2024-01-01 15:15:00-05:00,15,15,0,105.33134693040206,26.33283673260052,23.7966,5.9491
2024-01-01 15:30:00-05:00,15,30,0,91.63343621339128,22.90835905334782,19.9013,4.9753
2024-01-01 15:45:00-05:00,15,45,0,78.11184293603336,19.52796073400834,26.6028,6.6507
2024-01-01 16:00:00-05:00,16,0,0,64.8504032598496,16.2126008149624,28.9027,7.2257
2024-01-01 16:15:00-05:00,16,15,0,50.43243881184784,12.60810970296196,28.8243,7.2061
2024-01-01 16:30:00-05:00,16,30,0,36.64044165799061,9.160110414497654,29.3451,7.3363
2024-01-01 16:45:00-05:00,16,45,0,23.67407328636997,5.918518321592493,24.8843,6.2211
2024-01-01 17:00:00-05:00,17,0,0,11.851978724261569,2.962994681065392,34.4606,8.6152
2024-01-01 17:15:00-05:00,17,15,0,6.816222878354996,1.704055719588749,18.8321,4.708
2024-01-01 17:30:00-05:00,17,30,0,2.9000621337772405,0.7250155334443101,34.2369,8.5592
2024-01-01 17:45:00-05:00,17,45,0,0.0,0.0,33.2286,8.3071
2024-01-01 18:00:00-05:00,18,0,0,0.0,0.0,35.7037,8.9259
2024-01-01 18:15:00-05:00,18,15,0,0.0,0.0,37.2484,9.3121
2024-01-01 18:30:00-05:00,18,30,0,0.0,0.0,40.6186,10.1547
2024-01-01 18:45:00-05:00,18,45,0,0.0,0.0,39.5362,9.8841
2024-01-01 19:00:00-05:00,19,0,0,0.0,0.0,25.4287,6.3572
2024-01-01 19:15:00-05:00,19,15,0,0.0,0.0,28.4169,7.1042
2024-01-01 19:30:00-05:00,19,30,0,0.0,0.0,26.325,6.5812
2024-01-01 19:45:00-05:00,19,45,0,0.0,0.0,35.4995,8.8749
2024-01-01 20:00:00-05:00,20,0,0,0.0,0.0,24.1232,6.0308
2024-01-01 20:15:00-05:00,20,15,0,0.0,0.0,21.6497,5.4124
2024-01-01 20:30:00-05:00,20,30,0,0.0,0.0,22.2079,5.552
2024-01-01 20:45:00-05:00,20,45,0,0.0,0.0,22.1613,5.5403
2024-01-01 21:00:00-05:00,21,0,0,0.0,0.0,12.8823,3.2206
2024-01-01 21:15:00-05:00,21,15,0,0.0,0.0,17.3172,4.3293
2024-01-01 21:30:00-05:00,21,30,0,0.0,0.0,16.9324,4.2331
2024-01-01 21:45:00-05:00,21,45,0,0.0,0.0,19.3307,4.8327
2024-01-01 22:00:00-05:00,22,0,0,0.0,0.0,12.3136,3.0784
2024-01-01 22:15:00-05:00,22,15,0,0.0,0.0,12.9204,3.2301
2024-01-01 22:30:00-05:00,22,30,0,0.0,0.0,9.9385,2.4846
2024-01-01 22:45:00-05:00,22,45,0,0.0,0.0,12.3502,3.0875
2024-01-01 23:00:00-05:00,23,0,0,0.0,0.0,4.3849,1.0962
2024-01-01 23:15:00-05:00,23,15,0,0.0,0.0,5.3031,1.3258
2024-01-01 23:30:00-05:00,23,30,0,0.0,0.0,3.9943,0.9986
