Hour,solar_generation
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,167.2143549040596
7,952.805506951468
8,1629.4000190352165
9,2614.18441944971
10,2886.6894777785838
11,2886.6894777785838
12,2886.6894777785838
13,1407.6952566845382
14,1357.888944350109
15,1578.0332718828888
16,873.4389981102496
17,179.73766390238518
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,68.20770202924705
31,298.49403324612945
32,980.999339150895
33,2079.4246595596437
34,2886.6894777785838
35,2886.6894777785838
36,2886.6894777785838
37,1558.8509539256966
38,2184.4023082260496
39,1558.7103466248775
40,1105.4315951702931
41,241.8706750951441
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,143.49854189830646
55,914.6503157530964
56,1950.986695440056
57,2447.9804238713928
58,2886.6894777785838
59,2886.6894777785838
60,2753.9233644013825
61,2853.0221082770177
62,2886.6894777785838
63,2402.349270466001
64,776.8904836649277
65,163.1177754666644
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,141.45157840969625
79,1072.3803782910268
80,2113.073413200998
81,2373.31533453725
82,2886.6894777785838
83,2886.6894777785838
84,2886.6894777785838
85,1917.78090779956
86,2284.9905955246963
87,1565.5980851791212
88,1166.5106866633314
89,226.01542906906008
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,163.56442540978244
103,838.1014472210934
104,1317.063036572268
105,1804.006288519774
106,2154.6764451030213
107,2886.6894777785838
108,2886.6894777785838
109,2886.6894777785838
110,2444.4787644664216
111,2104.99636225519
112,1205.7639325936625
113,292.85861137196144
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,64.86075138887686
127,393.2997525623229
128,397.9402141875786
129,995.9387460013652
130,2886.6894777785838
131,1968.144881245895
132,2886.6894777785838
133,2886.6894777785838
134,2886.6894777785838
135,2574.552817741393
136,1397.111224662194
137,265.11660057534624
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,132.39727076438788
151,832.5644277978456
152,1396.0348395195683
153,2130.095034792533
154,1800.065475538862
155,1279.850799746641
156,2886.6894777785838
157,2886.6894777785838
158,2886.6894777785838
159,2571.0138267559355
160,1212.68798182083
161,280.58524771451886
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,98.37906062941806
175,766.7532759431532
176,1739.094187361325
177,2886.6894777785838
178,2886.6894777785838
179,2886.6894777785838
180,2886.6894777785838
181,2886.6894777785838
182,2793.1150306622126
183,2458.939452885273
184,1060.7584149236686
185,233.67187683570896
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,74.10457958105829
199,509.2973392744239
200,1672.829130310053
201,2845.631206237653
202,2886.6894777785838
203,2886.6894777785838
204,2718.317886533708
205,1554.3165149019244
206,2161.902858138768
207,1881.8394988934097
208,1156.6375181099868
209,285.48087896311483
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,54.3743540164178
223,218.04143148453807
224,589.0081541399068
225,1021.4983286715552
226,1206.2120299907529
227,2157.127095480447
228,2399.5047641494025
229,2886.6894777785838
230,2886.6894777785838
231,2775.3342300916397
232,1476.4477625137308
233,305.280837116846
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,75.3186014858258
247,642.635469425798
248,1640.6455974871228
249,2640.4583006370003
250,2886.6894777785838
251,2886.6894777785838
252,2886.6894777785838
253,2886.6894777785838
254,2847.3379613752004
255,2173.488351573269
256,1096.4058261967443
257,288.47017968944704
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,128.03891980774264
271,950.0473579849548
272,2229.1465057426144
273,2886.6894777785838
274,2886.6894777785838
275,2886.6894777785838
276,2886.6894777785838
277,2886.6894777785838
278,2886.6894777785838
279,1630.7093028212064
280,553.319046738273
281,157.72844669060652
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,128.73534087918569
295,736.9210943661841
296,1544.2709999268054
297,2886.6894777785838
298,2886.6894777785838
299,2886.6894777785838
300,2886.6894777785838
301,2886.6894777785838
302,2143.394683289672
303,2236.970477817858
304,1254.7032908911358
305,268.42745270022795
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,110.81499838412878
319,1038.2948426081712
320,2682.938893960968
321,2886.6894777785838
322,2886.6894777785838
323,2886.6894777785838
324,2886.6894777785838
325,2551.055610341898
326,2451.2711483449884
327,1532.705492368737
328,572.5786713831344
329,144.12283995375358
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,96.04215506935914
343,991.8090843869248
344,2459.9770940269345
345,2886.6894777785838
346,2886.6894777785838
347,2886.6894777785838
348,2886.6894777785838
349,2886.6894777785838
350,2203.6703325920057
351,1695.1396236433172
352,943.4466094299878
353,312.4459633419001
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,92.6680088477178
367,848.4226574303796
368,1933.9658430421016
369,2699.686115626981
370,2886.6894777785838
371,2886.6894777785838
372,2886.6894777785838
373,2886.6894777785838
374,2556.5407928798127
375,2740.5109829812664
376,914.498808497424
377,280.7463537824522
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,44.84790800006823
391,346.541827355863
392,912.8102570030544
393,1974.3611045917876
394,2886.6894777785838
395,2886.6894777785838
396,2886.6894777785838
397,2192.6292465749048
398,2694.8987575173105
399,1858.6671186675333
400,1529.8058604178716
401,331.7187469011648
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,101.43254704454188
415,1053.4896941684362
