agente,episodio,costo_total_soles,costo_hp_soles,costo_hfp_soles,r_cost_mean,r_grid_stable_mean,grid_ramp_mean_kwh,grid_ramp_std_kwh,grid_cv,grid_peak_kwh,grid_valley_kwh,peak_valley_ratio,co2_f6d_kg,co2_neta_kg,grid_import_kwh,solar_export_kwh,solar_export_co2_kg
A2C,13,2248791.3854641714,243945.89422929884,2004845.4912348727,-0.3792108460662031,-0.15297616639555042,229.5376964357102,264.6741747539108,0.8569175511000211,2914.3709530372093,0.0,,227775.3976985305,2472134.5091996333,7403806.447004278,503816.40720754367,227775.3976985305
A2C,14,2232823.6142253876,205605.71612015454,2027217.898105233,-0.37661904947306013,-0.1508645076157911,226.40604267532862,263.9853510793444,0.8578153997627372,2865.965428584189,0.0,,228346.74873104584,2462090.8224881683,7397470.067330179,505080.1785690021,228346.74873104584
A2C,15,2218870.6544812564,182035.55598174417,2036835.098499512,-0.3739784905899364,-0.14759929714004502,221.45590493536528,262.04983547314635,0.8564625984981328,2887.3482382716634,0.0,,227591.7110310776,2458589.7422347874,7379388.992242434,503410.11066374165,227591.7110310776
A2C,16,2223726.9040047824,187430.07818631834,2036296.8258184644,-0.3745354515896148,-0.14811284457532875,222.2650832849057,262.4267886127291,0.8535413191044318,2783.981320436004,0.0,,229720.7947580352,2453960.825411336,7389229.637214419,508119.43100649235,229720.7947580352
A2C,17,2230898.3282656595,236071.52190845305,1994826.806357206,-0.3755246582959623,-0.14677263128523252,220.19469021490977,260.48035259429196,0.8615696633460416,3070.700421007861,0.0,,222872.7380383465,2460325.8849078584,7352389.95159522,492972.21419674077,222872.7380383465
A2C,18,2274154.498962146,338479.36420424934,1935675.1347578974,-0.38214498102896055,-0.14586813091358447,218.82946487804844,259.9773676772424,0.8644749719128012,2791.873324804035,0.0,,222855.4398457848,2442924.378777546,7371391.931967737,492933.9523242309,222855.4398457848
A2C,19,2328666.6819900637,485336.16120866453,1843330.5207813988,-0.3906220313822316,-0.14682078083219655,220.30082802733259,260.51205554000785,0.8591756068210382,2818.6798782177234,0.0,,222459.90868659463,2458218.713697906,7372856.74953836,492059.0769444694,222459.90868659463
A2C,20,2400290.8328266055,686978.0005494149,1713312.8322771904,-0.39861792253819567,-0.14678513730315013,220.2493574468752,259.6699432442878,0.8588243925567742,2879.999133180577,0.0,,223533.62337991927,2460346.6502153566,7363812.310400045,494434.0264983837,223533.62337991927
A2C,21,2500801.843093062,957423.7137513853,1543378.1293416768,-0.4036062206389368,-0.1466468712165487,219.9909039116658,261.45742551973524,0.8574195599305239,2782.326384286538,0.0,,221403.2447970452,2459408.498719642,7366933.433019562,489721.8420638027,221403.2447970452
A2C,22,2592452.7688358724,1211014.983711451,1381437.7851244214,-0.40616367540021864,-0.14633392776431925,219.59667575973717,262.48699727080174,0.8590157186995708,2918.2460957314893,0.0,,221115.24681822065,2460590.033978046,7360956.959984185,489084.81932807044,221115.24681822065
A2C,23,2674547.5507347006,1425140.9754442493,1249406.575290451,-0.40691285359074053,-0.144787192648149,217.24238511141456,261.0639226243026,0.8545515910708487,2753.627849467983,0.0,,223776.49580172703,2451529.434379999,7372052.831637194,494971.23601355235,223776.49580172703
A2C,24,2733232.5126075316,1583553.3130536324,1149679.1995538992,-0.40100340774820836,-0.14444762147459778,216.74127861135833,262.57578347182863,0.8501846395678606,2765.920917409021,0.0,,225822.8568950153,2468693.7016640217,7373233.202997918,499497.5821610602,225822.8568950153
A2C,25,2761579.9834131845,1639766.259814379,1121813.7235988053,-0.39753475880538647,-0.14844736595375094,222.70655885439646,263.5069781152978,0.8483500204385007,2786.428595147567,0.0,,232065.57524542665,2465982.372720076,7399451.066718799,513305.8510184177,232065.57524542665
A2C,26,2714526.496762817,1542559.787382096,1171966.7093807207,-0.3989603042993373,-0.14407911326916562,216.2094875496875,262.0489956755992,0.8530476793521715,2687.6658360590272,0.0,,224752.18212243903,2460703.384443283,7360857.527901112,497129.3566079165,224752.18212243903
A2C,27,2643261.5275722533,1328049.1838282635,1315212.34374399,-0.40059499843225105,-0.14357649259447644,215.4072640029064,261.95027407706357,0.8455169542676717,2677.167891491459,0.0,,233532.25623347945,2457267.927295885,7387386.687716391,516550.00272833323,233532.25623347945
A2C,28,2551997.227804341,1101341.5913765675,1450655.6364277736,-0.3970349486556642,-0.14186476235492065,212.80999575280467,258.15748434718506,0.8504358495882822,2667.639713064952,0.0,,228598.6615181004,2454124.312675286,7360735.559713485,505637.3844682601,228598.6615181004
A2C,29,2458442.7475141226,834607.3120670386,1623835.435447084,-0.3978700112495278,-0.14563976033938225,218.5007565035351,256.75479310699205,0.8550512413542947,2818.154496100424,0.0,,235047.1866585377,2435850.1267169,7376783.392538183,519900.87736902834,235047.1866585377
A2C,30,2367851.012772584,572750.0692004914,1795100.9435720923,-0.39866575766777923,-0.14792662502673531,221.91126138782906,257.223876088094,0.8527499766361324,2858.9017143015094,0.0,,238469.6508332046,2438245.2665484524,7396831.945334048,527471.0259526755,238469.6508332046
A2C,31,2317116.54233802,443041.7570132826,1874074.7853247374,-0.3910883210746426,-0.14781985478522977,221.74723042306957,256.13203788106796,0.8517940888789008,2829.181261153394,0.0,,235948.10451714348,2439846.648194004,7386664.096514745,521893.6176004058,235948.10451714348
A2C,32,2296017.839774058,406188.4859438172,1889829.3538302411,-0.38748511826993237,-0.1456438624588191,218.47427917769568,256.6042960062233,0.8577233985406424,2792.5555164610787,0.0,,229260.46750177152,2444137.625161619,7360854.000319568,507101.23313818075,229260.46750177152
A2C,33,2295549.055956657,389792.01438625436,1905757.0415704024,-0.38739988794669694,-0.14503828148812659,217.5726271996164,254.9849669337777,0.8531384493638352,2778.5735879157846,0.0,,237388.61480581565,2438300.963007358,7379954.748140988,525079.8823397824,237388.61480581565
A2C,34,2299700.047045664,394748.7466090907,1904951.3004365736,-0.3881857331146652,-0.1482817204031454,222.49010264574125,258.27479094777055,0.850885622495313,2737.882240104589,0.0,,237641.3633574672,2437029.582096872,7387929.730257208,525638.9368667711,237641.3633574672
A2C,35,2300043.410295884,377895.53798854136,1922147.872307343,-0.3885118441376155,-0.14607306913445942,219.17449893082923,260.655919054705,0.8456356901758337,2688.8545043521167,0.0,,241810.9033676447,2442025.909834584,7410392.467532009,534861.5425075088,241810.9033676447
A2C,36,2271958.8215724975,322793.66115526715,1949165.1604172303,-0.3839907499103864,-0.14039062676745367,210.6477121981575,262.2713600967103,0.8399418967772995,2622.3891451891104,0.0,,239171.30105620352,2454982.339590864,7383672.863587947,529023.0060964467,239171.30105620352
A2C,37,2237282.830249242,252627.35229311945,1984655.477956123,-0.37811713152996684,-0.13919590269580195,208.8519810889174,263.13441110230247,0.8451366570404761,2845.2366087903374,0.0,,229955.7598389513,2466554.288033078,7353375.036501688,508639.1502741678,229955.7598389513
A2C,38,2218826.601039161,205373.76601683148,2013452.83502233,-0.3746917766148746,-0.14037651655812172,210.58518976584588,260.68414439906815,0.8513049186192176,2667.5207069745647,0.0,,225057.8030322528,2458986.8884080364,7349762.283992342,497805.35950509354,225057.8030322528
A2C,39,2220068.8770991266,190485.5444105346,2029583.3326885924,-0.3745725094050896,-0.141233332642965,211.86286004871002,263.0864635192936,0.8475633127344836,2689.851333593503,0.0,,230629.47990888104,2456988.731464603,7372825.978340714,510129.35171174747,230629.47990888104
A2C,40,2218529.849914957,186519.3939634512,2032010.4559515058,-0.37394360507298735,-0.14094236498373713,211.44763187778182,261.8295391926105,0.8462846220563506,2745.1099000071613,0.0,,231931.3586435045,2453534.416195941,7372557.2659759,513008.97731365735,231931.3586435045
A2C,41,2233469.9669371545,219289.94877447537,2014180.0181626792,-0.37640670953677174,-0.14132956512863007,212.05835353415483,263.7003097195816,0.8408921882025989,2651.052589095408,0.0,,237111.55428708016,2455880.441784394,7382403.762948699,524467.0521722632,237111.55428708016
A2C,42,2267874.670423907,305388.79323500185,1962485.8771889047,-0.3819781515115516,-0.14109327131226598,211.6645434001829,264.250984025832,0.8374255719281212,2739.892220987661,0.0,,242688.8937432851,2465592.8116986724,7391648.814240412,536803.569438808,242688.8937432851
A2C,43,2323378.0419550445,474904.04299458745,1848473.9989604573,-0.38992187611745643,-0.13858247162068085,207.89046743282933,262.2818784840744,0.8417890197714903,2698.397368936321,0.0,,232126.89547818835,2473118.5437045246,7367895.654119573,513441.48524261964,232126.89547818835
A2C,44,2415091.4080081703,718331.9416352359,1696759.4663729342,-0.39771105791869443,-0.13935318906186536,209.09358076003053,261.93231196634224,0.840580041036798,2710.589320000892,0.0,,235105.3149344689,2468078.573533981,7374969.420036142,520029.45130384626,235105.3149344689
A2C,45,2507729.411363205,977410.7219849918,1530318.6893782131,-0.40309341743525656,-0.1385727113955539,207.875135132782,262.2642459703497,0.8424353871096525,2661.129224316838,0.0,,232007.15574643295,2466810.6779953577,7365447.384862564,513176.6329273014,232007.15574643295
A2C,46,2596369.649645279,1218231.0526927016,1378138.5969525771,-0.40718638313165834,-0.13947899702324434,209.2404051767424,262.21499196117617,0.8439378586192021,2666.816548960801,0.0,,232592.42904154956,2459678.818872888,7365275.603365203,514471.19894171547,232592.42904154956
A2C,47,2673390.4937460613,1438557.7154754242,1234832.7782706376,-0.4063436663939954,-0.1375351169678667,206.37628158238442,263.83279753230386,0.8433697683133476,2697.780504326792,0.0,,229122.0564261777,2471028.0570994737,7351139.831830538,506795.08167701325,229122.0564261777
A2C,48,2721924.6721583176,1561386.820876598,1160537.8512817197,-0.40310342196871674,-0.13774635860402373,206.67824769637582,263.24002691631114,0.8406747987260956,2789.1751669495325,0.0,,233795.0862513048,2464445.0180873,7362450.380730185,517131.35645057465,233795.0862513048
A2C,49,2739902.4825251987,1612649.3470324068,1127253.1354927924,-0.3984165883212793,-0.1382176775501138,207.33402279638494,262.69280866743395,0.8423026551529293,2732.0516734993807,0.0,,231512.973621928,2469124.371197677,7359359.264326939,512083.55147517804,231512.973621928
A2C,50,2708203.241538362,1510929.7547594453,1197273.4867789168,-0.4032495982969579,-0.13869195836080783,208.09933661422784,264.07775078408577,0.8383448551481316,2824.6729812031977,0.0,,238380.786432848,2466631.5496412534,7379120.857619673,527274.4667835612,238380.786432848
A2C,51,86598.77336889572,38633.79265218114,47964.98071671459,-0.4349755000943122,-0.1489580145381681,223.4370218072521,260.94445631287573,0.6910379272596975,2213.1846833066784,0.0,,,,,,
PPO,0,2903060.947450583,1832649.1848770152,1070411.7625735672,-0.38884790143279613,-0.20795413644783056,312.14446925995867,302.34536974240484,0.9450433084788687,2996.0121476063896,0.0,,,,,,
PPO,1,2852674.717453433,1680592.726671165,1172081.990782268,-0.397439404076491,-0.2136705102911819,320.6991209654491,308.8358159183168,0.9490390303571782,3054.0,0.0,,317136.8805593146,2443782.583066165,7641032.770209554,701475.0731238987,317136.8805593146
PPO,2,2755348.12255547,1412709.0210306938,1342639.1015247763,-0.4010271204825445,-0.21337266742767266,320.4622464669142,306.66082444852634,0.9552805701093118,3075.7551173114966,0.0,,305533.3757461912,2439054.5113613238,7660284.366377631,675809.2805710931,305533.3757461912
PPO,3,2648220.7230538214,1105367.1417938885,1542853.5812599328,-0.40420324177444067,-0.2075031300863614,311.5828628172116,306.4745110531361,0.9470672174402596,3044.340004197396,0.0,,299724.2314142594,2435878.41228753,7664847.977604478,662960.0340948007,299724.2314142594
PPO,4,2511607.030447324,777959.5105902781,1733647.5198570453,-0.4018822688528489,-0.2082191350127773,312.5778317646681,306.8024272724503,0.9520599795157811,3068.6601085933594,0.0,,280410.3778182024,2409965.12016157,7685635.93186255,620239.7208984791,280410.3778182024
PPO,5,2387856.41886427,484353.43362518447,1903502.9852390862,-0.3974202493025108,-0.19937378286711102,299.35853262875753,306.49093394992985,0.9455440513466551,3064.264197318588,0.0,,272660.98048572225,2427171.620365709,7630647.503688899,603098.8287673573,272660.98048572225
PPO,6,2314681.1464205827,345327.9317663369,1969353.2146542456,-0.3866272760301828,-0.19476840786692615,292.4483968394972,302.5616963563143,0.9480789991495963,2983.759505694753,0.0,,255483.83496737745,2428304.6480584056,7577080.549073232,565104.7002153891,255483.83496737745
PPO,7,2308455.9156957157,341493.48788288527,1966962.42781283,-0.38612948674173975,-0.18782029449163204,281.9312263311923,303.9377961281691,0.935744963318174,3076.3708536330923,0.0,,245999.27663580023,2447048.0683376486,7501722.617961055,544125.8054319846,245999.27663580023
PPO,8,2303178.8440826302,369715.06817590655,1933463.7759067232,-0.3860014411471556,-0.18157205853403716,272.6899429508249,299.50393042826926,0.92652159334434,2915.3955115255503,0.0,,239736.51572867893,2446011.106806119,7485216.9063133,530273.204442997,239736.51572867893
PPO,9,2292248.783081769,379520.66946185124,1912728.1136199175,-0.38453913169373766,-0.1751667312656129,263.0597357085953,294.7962016033835,0.9199414682402622,2931.0353008884013,0.0,,234266.4571047143,2464216.752454397,7431476.7329732785,518173.9816516574,234266.4571047143
PPO,10,2277328.6496522487,339472.07364259445,1937856.576009654,-0.3821237868414697,-0.17243506371928694,258.81868569352076,292.258625996863,0.9182984021394904,2924.9657719431943,0.0,,228913.49640558127,2482187.3289198373,7381609.417101924,506333.7677628429,228913.49640558127
PPO,11,2250061.972696904,283471.5740365301,1966590.3986603739,-0.3778710442080985,-0.17136208817534765,257.2540745643727,289.19551051331325,0.9179960224080097,2934.3976621489687,0.0,,226965.42277546416,2473955.502297698,7381023.452750336,502024.8236572974,226965.42277546416
PPO,12,2233849.2128029047,229298.75125530464,2004550.4615475996,-0.37517848876429105,-0.16953536734219132,254.45701989245867,286.8243279290718,0.9096429631926841,2894.9240199362844,0.0,,226634.46866067612,2480591.225877224,7358243.6991591,501292.78624347737,226634.46866067612
PPO,13,2225472.8556670933,201311.02998858262,2024161.8256785106,-0.37367634674617567,-0.1655889308028988,248.51398015449496,281.41407560483793,0.8942179430410228,2810.461052844914,0.0,,227223.175111745,2477007.8881106586,7371063.439777215,502594.9460556182,227223.175111745
PPO,14,2217565.1903415173,178598.0141330716,2038967.1762084456,-0.3724107052369169,-0.1617967118797117,242.79266164921285,278.4756441578082,0.8886774161330372,2832.6032337642764,0.0,,227769.531857796,2476270.8176107025,7377685.796450471,503803.4325542933,227769.531857796
PPO,15,2224564.8750064285,187152.10435313368,2037412.7706532949,-0.3734251119541811,-0.15923683529448376,238.95519428574485,274.0229624467769,0.8780595134643115,2910.7370582925328,0.0,,226756.0246275686,2479082.78053573,7379253.629789947,501561.65588933555,226756.0246275686
PPO,16,2236798.657333112,231139.37942567145,2005659.2779074404,-0.37533613454150494,-0.15554611965760118,233.39857172060826,270.18058990571984,0.8722112436903421,2771.540915284525,0.0,,228899.5437604545,2472498.423430611,7392454.412181575,506302.90590677835,228899.5437604545
PPO,17,2270914.69160425,322778.61545409437,1948136.076150156,-0.38115859039914546,-0.15351388484882916,230.39913402228794,270.51274610960706,0.869495421123333,2917.2479762113267,0.0,,228810.6676709468,2471525.989698749,7378853.461053024,506106.3208824304,228810.6676709468
PPO,18,2328626.498102089,484660.9952573242,1843965.5028447646,-0.38947553354244596,-0.1510168973609423,226.6280126110939,267.77122889666407,0.8647911295951664,2822.6398604910137,0.0,,228522.3951056967,2472252.3883475456,7380111.173348643,505468.69078897743,228522.3951056967
PPO,19,2419411.228770512,717702.1833565363,1701709.0454139751,-0.39781854390547056,-0.1491992771426391,223.91493515329796,266.7141337608236,0.859678779339671,2962.0619446996657,0.0,,227198.15474568796,2474797.0524812974,7373571.664091486,502539.60350738326,227198.15474568796
PPO,20,2517642.804637655,997141.8932970343,1520500.9113406208,-0.4010303642785555,-0.14627680740316723,219.49707853464457,264.5789750906646,0.859282286036162,2864.011167934173,0.0,,229624.15701451065,2469278.7314667217,7390578.990695693,507905.6779794529,229624.15701451065
PPO,21,2615653.396545008,1263115.7330560952,1352537.6634889124,-0.40371380073128355,-0.14478713816129396,217.26236770332184,262.51858646235524,0.8564439092894216,2816.501773763993,0.0,,227268.1321871187,2471074.975943648,7374523.90771946,502694.3866116317,227268.1321871187
PPO,22,2696852.972560717,1477943.9087150157,1218909.0638457015,-0.40351870245132915,-0.1453736341653252,218.14801569634412,263.8433279440168,0.8554447935700108,2751.4902706096723,0.0,,228030.8810472348,2463206.49343038,7374718.082818321,504381.5108321938,228030.8810472348
PPO,23,2738945.5609083865,1599916.0537407296,1139029.507167657,-0.3994887934291294,-0.1439055748309972,215.94235339840452,260.21713087617763,0.8526096548988604,2712.7882820949303,0.0,,230382.91850320963,2468394.2881603786,7381857.132973348,509583.9825330892,230382.91850320963
PPO,24,2750829.1781599256,1631947.0174016554,1118882.1607582704,-0.39698644907980035,-0.1431296049515455,214.7199586179132,260.81838773168016,0.8517266486793141,2786.1833569643395,0.0,,230326.8063120132,2465184.6186609096,7372159.502608161,509459.8679761407,230326.8063120132
PPO,25,2703975.3493791698,1512671.3541401392,1191303.9952390308,-0.4014349794034107,-0.14176999042648877,212.6704368257243,260.9412589676719,0.8508574184872936,2842.5883217138366,0.0,,228725.20636784547,2467424.3238887275,7372458.262906286,505917.2890242103,228725.20636784547
PPO,26,2625033.49252874,1292429.6523145163,1332603.8402142234,-0.4019600505484636,-0.1423837283452001,213.643434634347,260.3385394711759,0.8509782273822939,2832.3028729832035,0.0,,228206.24300897543,2465573.617769485,7362422.312544419,504769.3939592467,228206.24300897543
PPO,27,2537637.66526642,1054903.1082360204,1482734.5570303998,-0.40113861299358206,-0.14200305357788057,213.09450346687356,261.581293686894,0.8497347205631601,2797.4008337485884,0.0,,228952.0835324786,2469856.705904336,7369862.945086624,506419.1186296806,228952.0835324786
PPO,28,2446898.641432714,811275.424654515,1635623.2167781992,-0.39916505090980153,-0.1405772813784569,210.87803145929567,260.5585965928066,0.8492774588280143,2833.762825308892,0.0,,229041.4107316721,2465718.0828996943,7370142.275799637,506616.70146355254,229041.4107316721
PPO,29,2355737.856588166,568357.7846014032,1787380.0719867628,-0.39739804571699183,-0.1389057772675305,208.38468743581214,259.913001535527,0.8466331635150324,2862.551485218027,0.0,,228772.9855486521,2466752.0502293217,7366662.199397044,506022.97179529327,228772.9855486521
PPO,30,2309498.331869102,438504.4759817481,1870993.8558873537,-0.38997284066834875,-0.14111447215942863,211.75570629968604,260.7853662916431,0.8493565229408739,2822.138037818765,0.0,,228459.71929166323,2465587.451841294,7360838.985669059,505330.0581545305,228459.71929166323
PPO,31,2294956.534444422,403815.19944868924,1891141.3349957326,-0.38773976418759987,-0.13925419712443257,208.89989083750993,260.80800255275733,0.8474636888181518,2860.514212946744,0.0,,228913.8203745059,2467402.4687201707,7366269.029904651,506334.4843497145,228913.8203745059
PPO,32,2289916.1915640337,387618.3888652049,1902297.8026988287,-0.3870047234906393,-0.13885205096926123,208.30702044814467,261.9665792888869,0.8461207922571137,2649.006652427893,0.0,,229160.40054214437,2465457.505016793,7360211.814643559,506879.8950279681,229160.40054214437
PPO,33,2287730.2784162452,379582.9523209502,1908147.326095295,-0.3865611288814493,-0.1379626997448823,207.01857963492355,261.40844158043103,0.8446942954835374,2810.960882979776,0.0,,229181.37453403452,2464504.9613356325,7363382.894938082,506926.2874010938,229181.37453403452
PPO,34,2279674.347172524,354140.1558869036,1925534.1912856204,-0.3852873367819113,-0.13806514430746814,207.12768061412172,260.7734203718347,0.8447638109696096,2786.122523540375,0.0,,230830.16151862824,2465324.790714493,7366035.197416552,510573.2393687862,230830.16151862824
PPO,35,2258707.791541268,304414.2408847356,1954293.5506565329,-0.381749948604116,-0.13784050542261886,206.78012545027184,261.8344686176958,0.8442917868404746,2743.6127235874283,0.0,,230445.0872275666,2465351.2108655027,7370542.225601539,509721.4935358695,230445.0872275666
PPO,36,2242273.3005145565,256533.9872612453,1985739.313253311,-0.3789785086262189,-0.1373515828533278,206.04112943621084,261.6932816762431,0.842999878156598,2674.1763461298656,0.0,,230328.38896845133,2465353.5916446405,7361443.167388831,509463.36865395115,230328.38896845133
PPO,37,2229063.6063889195,219948.83611394768,2009114.7702749716,-0.37651291379750407,-0.13720422924387193,205.82024703508574,262.1683174720897,0.8429223165921798,2650.1561314901955,0.0,,231946.23004934305,2458302.3526759343,7365555.14013334,513041.8713765606,231946.23004934305
PPO,38,2217425.0536482367,193678.88631120464,2023746.1673370316,-0.37413999635579837,-0.13771695390233113,206.60072047034927,261.4139285652405,0.8437924246048594,2904.04115883986,0.0,,230630.64083419312,2467620.3932452584,7366460.627270025,510131.919562471,230630.64083419312
PPO,39,2215664.1871048296,186343.06060408914,2029321.1265007406,-0.3734773946131014,-0.13794704392381887,206.93299055460412,262.8984406904466,0.8440689873823268,2771.3973287707686,0.0,,230723.86830814465,2462622.194953861,7359726.249568523,510338.12941416644,230723.86830814465
PPO,40,2229767.2519291504,224266.75325765653,2005500.498671494,-0.3756031076838998,-0.1376276434538001,206.4620013638744,262.73803869124214,0.8434836029466636,2641.1249105958864,0.0,,230627.87177950083,2467479.0468577365,7362952.595143026,510125.7946903358,230627.87177950083
PPO,41,2265679.831438831,316648.5219768706,1949031.3094619606,-0.38134102152100563,-0.13725736207875752,205.9554011594937,262.231409293814,0.8420477975775125,2867.106788707153,0.0,,232005.66098233985,2461722.1683673626,7363420.245771632,513173.3266585708,232005.66098233985
PPO,42,2324778.196954515,476214.1820114654,1848564.0149430498,-0.39007951399218294,-0.13750882936309758,206.27567827609766,261.85540153311285,0.8414877803716662,2750.276808947033,0.0,,233134.3203112515,2462740.206533125,7369901.147913502,515669.80825315526,233134.3203112515
PPO,43,2414350.262020349,719213.747471438,1695136.514548911,-0.3974847352093405,-0.1378143998338343,206.7624484564715,262.1111253289168,0.8420375329559728,2651.3759145993963,0.0,,233702.76203306144,2463133.3940664427,7371042.607007287,516927.1445102001,233702.76203306144
PPO,44,2511596.7777354764,984701.7881395165,1526894.9895959601,-0.4028904180604485,-0.13731330880619044,205.98729104180782,262.1447340697475,0.8422957254114356,2688.8715625368754,0.0,,232993.43440994876,2465306.0079442905,7371314.066229117,515358.1827249475,232993.43440994876
PPO,45,2608080.11092879,1240299.702902428,1367780.4080263618,-0.40658889271955573,-0.13807681027578722,207.13227966729937,263.0896023287501,0.8418291893518476,2650.981435839986,0.0,,232257.75913912355,2463871.4120073486,7369501.505907277,513730.9425771368,232257.75913912355
PPO,46,2677793.9277435327,1440519.6607404691,1237274.2670030633,-0.40673838034049115,-0.13689181867416952,205.3718360062044,262.7098344798387,0.8424526252560407,2665.8582155012173,0.0,,234096.696890036,2461408.0817410545,7377562.72771719,517798.4890290555,234096.696890036
PPO,47,2725832.4595593335,1565460.1546293586,1160372.3049299752,-0.4032219794098944,-0.13762774243900333,206.4668740381047,261.8219340949641,0.8417661412761192,2646.521564390517,0.0,,232231.49518569495,2462744.883454428,7363762.87880805,513672.84933796717,232231.49518569495
PPO,48,2744071.067062846,1614866.4411863252,1129204.6258765203,-0.39871178526350964,-0.13737569385290557,206.10262347066487,262.6548380201821,0.8417211684553093,2730.9825879399564,0.0,,233242.2416805554,2465353.484060343,7370707.043354873,515908.51953230565,233242.2416805554
PPO,49,2704026.4169058213,1513045.8368242993,1190980.5800815225,-0.4022945582766865,-0.1371841617437511,205.79719435988108,261.9630407180075,0.8422790106276677,2591.4838279431665,0.0,,233101.23604984855,2463239.290258347,7370854.681772272,515596.6291746263,233101.23604984855
PPO,50,86248.02273638081,38527.7007661524,47720.32197022841,-0.4335815782439947,-0.14660038906185435,219.90058359278152,261.50387719641753,0.6944305150747994,2211.7778138834174,0.0,,231702.236424196,2464201.307231156,7362124.478045555,512502.1818717009,231702.236424196
SAC,1,2925649.493418705,1846382.742946981,1079266.7504717244,-0.39044026431969703,-0.19674568548572263,295.2331846509867,291.0473685849354,0.9381987320259928,2952.2723974153405,0.0,,317534.63486370497,2400233.73913523,7701151.745264641,702354.8658785777,317534.63486370497
SAC,2,2877629.039945079,1690780.7125276066,1186848.327417472,-0.40077698280802576,-0.19523368739963404,293.01989059267447,292.6304678832736,0.9313378624105079,3055.514870708149,0.0,,317860.45178724243,2395114.5925598373,7732994.407453744,703075.540338957,317860.45178724243
SAC,3,2773635.33282554,1410506.9956606012,1363128.337164939,-0.4058482218055801,-0.19572780235435341,293.87729622337065,292.9993171828666,0.9306639773724428,3051.077265464737,0.0,,298435.9317758464,2385709.898476072,7730342.427142314,660110.4440960991,298435.9317758464
