variable,seccion,comparacion,estadistico,p_valor,significativo,efecto,interpretacion
"r_grid_stable medio (0=estable, -1=max rampa)",mann_whitney_u,A2C > SAC,U=1931,1.358e-06,SÍ,,A2C evita MÁS CO₂ que SAC
"r_grid_stable medio (0=estable, -1=max rampa)",mann_whitney_u,PPO > SAC,U=1708,8.055e-04,SÍ,,PPO evita MÁS CO₂ que SAC
"r_grid_stable medio (0=estable, -1=max rampa)",wilcoxon,A2C > PPO,W=775,9.384e-02,NO,,sin diferencia pareada
"r_grid_stable medio (0=estable, -1=max rampa)",wilcoxon,A2C > SAC,W=1092,1.595e-06,SÍ,,A2C supera SAC (pareado)
"r_grid_stable medio (0=estable, -1=max rampa)",wilcoxon,PPO > SAC,W=745,1.522e-01,NO,,sin diferencia pareada
"r_grid_stable medio (0=estable, -1=max rampa)",cohen_d,A2C vs PPO,d=0.2477,,,small,efecto small
"r_grid_stable medio (0=estable, -1=max rampa)",cohen_d,A2C vs SAC,d=0.5542,,,medium,efecto medium
"r_grid_stable medio (0=estable, -1=max rampa)",cohen_d,PPO vs SAC,d=0.1146,,,negligible,efecto negligible
"r_grid_stable medio (0=estable, -1=max rampa)",cliff_delta,A2C vs PPO,δ=-0.1320,,,negligible,efecto negligible
"r_grid_stable medio (0=estable, -1=max rampa)",cliff_delta,A2C vs SAC,δ=0.5448,,,large,efecto large
"r_grid_stable medio (0=estable, -1=max rampa)",cliff_delta,PPO vs SAC,δ=0.3664,,,medium,efecto medium
"r_grid_stable medio (0=estable, -1=max rampa)",bootstrap_ic95,A2C - PPO,diff=0,,NO,"IC95=[-0,0]",diferencia incierta
"r_grid_stable medio (0=estable, -1=max rampa)",bootstrap_ic95,A2C - SAC,diff=0,,SÍ (cero excluido),"IC95=[0,0]",diferencia real
"r_grid_stable medio (0=estable, -1=max rampa)",bootstrap_ic95,PPO - SAC,diff=0,,NO,"IC95=[-0,0]",diferencia incierta
Rampa media |Δgrid_import| kWh/h (menor = mas estable),descriptivos,A2C,media=225,,,"IC95=[220,230]",media=225 sd=19
Rampa media |Δgrid_import| kWh/h (menor = mas estable),descriptivos,PPO,media=232,,,"IC95=[223,242]",media=232 sd=35
Rampa media |Δgrid_import| kWh/h (menor = mas estable),descriptivos,SAC,media=235,,,"IC95=[231,240]",media=235 sd=18
Rampa media |Δgrid_import| kWh/h (menor = mas estable),shapiro_wilk,A2C,W=0.8012,9.326e-07,NO NORMAL,,no normal → no paramétrico
Rampa media |Δgrid_import| kWh/h (menor = mas estable),shapiro_wilk,PPO,W=0.7484,6.849e-08,NO NORMAL,,no normal → no paramétrico
Rampa media |Δgrid_import| kWh/h (menor = mas estable),shapiro_wilk,SAC,W=0.3953,4.683e-13,NO NORMAL,,no normal → no paramétrico
Rampa media |Δgrid_import| kWh/h (menor = mas estable),kruskal_wallis,A2C vs PPO vs SAC,H=20.6057,3.354e-05,SÍ,,diferencias globales significativas
Rampa media |Δgrid_import| kWh/h (menor = mas estable),dunn_bonferroni,A2C vs PPO,z=0.2417,1.000e+00,NO,,no significativo
Rampa media |Δgrid_import| kWh/h (menor = mas estable),dunn_bonferroni,A2C vs SAC,z=-3.8048,4.258e-04,SÍ,,significativo post-hoc
Rampa media |Δgrid_import| kWh/h (menor = mas estable),dunn_bonferroni,PPO vs SAC,z=-4.0465,1.560e-04,SÍ,,significativo post-hoc
Rampa media |Δgrid_import| kWh/h (menor = mas estable),mann_whitney_u,A2C > PPO,U=1413,8.702e-01,NO,,equivalentes
Rampa media |Δgrid_import| kWh/h (menor = mas estable),mann_whitney_u,A2C > SAC,U=571,1.452e-06,SÍ,,A2C evita MÁS CO₂ que SAC
Rampa media |Δgrid_import| kWh/h (menor = mas estable),mann_whitney_u,PPO > SAC,U=792,8.055e-04,SÍ,,PPO evita MÁS CO₂ que SAC
Rampa media |Δgrid_import| kWh/h (menor = mas estable),wilcoxon,A2C > PPO,W=498,9.063e-02,NO,,sin diferencia pareada
Rampa media |Δgrid_import| kWh/h (menor = mas estable),wilcoxon,A2C > SAC,W=183,1.595e-06,SÍ,,A2C supera SAC (pareado)
Rampa media |Δgrid_import| kWh/h (menor = mas estable),wilcoxon,PPO > SAC,W=532,1.568e-01,NO,,sin diferencia pareada
Rampa media |Δgrid_import| kWh/h (menor = mas estable),cohen_d,A2C vs PPO,d=-0.2484,,,small,efecto small
Rampa media |Δgrid_import| kWh/h (menor = mas estable),cohen_d,A2C vs SAC,d=-0.5537,,,medium,efecto medium
Rampa media |Δgrid_import| kWh/h (menor = mas estable),cohen_d,PPO vs SAC,d=-0.1134,,,negligible,efecto negligible
Rampa media |Δgrid_import| kWh/h (menor = mas estable),cliff_delta,A2C vs PPO,δ=0.1304,,,negligible,efecto negligible
Rampa media |Δgrid_import| kWh/h (menor = mas estable),cliff_delta,A2C vs SAC,δ=-0.5432,,,large,efecto large
Rampa media |Δgrid_import| kWh/h (menor = mas estable),cliff_delta,PPO vs SAC,δ=-0.3664,,,medium,efecto medium
Rampa media |Δgrid_import| kWh/h (menor = mas estable),bootstrap_ic95,A2C - PPO,diff=-7,,NO,"IC95=[-18,4]",diferencia incierta
Rampa media |Δgrid_import| kWh/h (menor = mas estable),bootstrap_ic95,A2C - SAC,diff=-10,,SÍ (cero excluido),"IC95=[-17,-3]",diferencia real
Rampa media |Δgrid_import| kWh/h (menor = mas estable),bootstrap_ic95,PPO - SAC,diff=-3,,NO,"IC95=[-13,8]",diferencia incierta
