Agente,N,Media (kg/año),Mediana (kg/año),σ (kg/año),Mínimo (kg/año),Máximo (kg/año),vs F0 (%)
F0 Sin Proyecto,50,7054000.0,7054000.0,0.0,7054000.0,7054000.0,0.0
"F1 Baseline (solar+BESS, sin RL)",50,5789813.733848505,5783769.4368186295,29199.861793665317,5782116.192950886,5944659.114442195,-17.9
SAC,50,2668375.375217687,2635999.5645694286,88575.9633316595,2622734.9202761496,3055514.3211416528,-62.2
PPO,50,2875569.0516898287,2810918.069480722,112672.55085342361,2787039.847759423,3142944.398597649,-59.2
A2C,50,2845011.9928667527,2842860.4089636565,11890.194262423178,2834857.458127933,2922533.1128959875,-59.7
