datetime,pv_kwh,ev_kwh,mall_kwh,load_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,grid_export_kwh,bess_charge_kwh,bess_discharge_kwh,bess_action_kwh,bess_to_ev_kwh,bess_to_mall_kwh,grid_to_bess_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_import_kwh,grid_export_kwh_metric,soc_percent,soc_kwh,is_peak_hour,tariff_rate_soles_kwh,cost_grid_import_soles,cost_if_grid_import_soles,cost_avoided_by_bess_soles,cost_savings_hp_soles,cost_savings_hfp_soles,savings_bess_soles,tariff_index_hp_hfp,co2_grid_kg,co2_avoided_kg,bess_energy_stored_hourly_kwh,bess_energy_delivered_hourly_kwh,bess_balance_error_hourly_kwh,bess_balance_error_hourly_percent,mall_grid_import_kwh,bess_mode
2024-01-01 00:00:00,0.0,0.0,531.1095890410959,531.1095890410959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.1095890410959,531.1095890410959,0.0,20.08219178082192,401.64383561643837,0.0,0.28,148.71068493150688,148.71068493150688,0.0,0.0,0.0,0.0,1.0,240.11464520547943,0.0,0.0,0.0,0.0,0.0,531.1095890410959,idle
2024-01-01 01:00:00,0.0,0.0,483.0383561643836,483.0383561643836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0383561643836,483.0383561643836,0.0,20.08219178082192,401.64383561643837,0.0,0.28,135.2507397260274,135.2507397260274,0.0,0.0,0.0,0.0,1.0,218.38164082191778,0.0,0.0,0.0,0.0,0.0,483.0383561643836,idle
2024-01-01 02:00:00,0.0,0.0,469.65205479452055,469.65205479452055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.65205479452055,469.65205479452055,0.0,20.08219178082192,401.64383561643837,0.0,0.28,131.50257534246575,131.50257534246575,0.0,0.0,0.0,0.0,1.0,212.32969397260274,0.0,0.0,0.0,0.0,0.0,469.65205479452055,idle
2024-01-01 03:00:00,0.0,0.0,459.66301369863015,459.66301369863015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.66301369863015,459.66301369863015,0.0,20.08219178082192,401.64383561643837,0.0,0.28,128.70564383561646,128.70564383561646,0.0,0.0,0.0,0.0,1.0,207.8136484931507,0.0,0.0,0.0,0.0,0.0,459.66301369863015,idle
2024-01-01 04:00:00,0.0,0.0,453.4849315068493,453.4849315068493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.4849315068493,453.4849315068493,0.0,20.08219178082192,401.64383561643837,0.0,0.28,126.97578082191782,126.97578082191782,0.0,0.0,0.0,0.0,1.0,205.02053753424656,0.0,0.0,0.0,0.0,0.0,453.4849315068493,idle
2024-01-01 05:00:00,0.0,0.0,434.57260273972605,434.57260273972605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.57260273972605,434.57260273972605,0.0,20.08219178082192,401.64383561643837,0.0,0.28,121.68032876712331,121.68032876712331,0.0,0.0,0.0,0.0,1.0,196.47027369863014,0.0,0.0,0.0,0.0,0.0,434.57260273972605,idle
2024-01-01 06:00:00,144.18146501620757,0.0,513.6575342465753,513.6575342465753,0.0,139.94047420657276,4.240990809634811,0.0,339.9404742065728,0.0,339.9404742065728,0.0,0.0,200.0,0.0,509.4165434369405,709.4165434369405,0.0,36.64884123866342,732.9768247732684,0.0,0.28,198.63663216234337,143.82410958904111,0.0,0.0,39.18333277784038,39.18333277784038,1.0,320.7272192878408,1.917351945035898,331.3329891568301,0.0,-331.3329891568301,100.0,509.4165434369405,charge
2024-01-01 07:00:00,1098.1227024433772,0.0,660.4301369863014,660.4301369863014,0.0,392.4106761605781,505.4218000008982,200.290226281901,591.8627309550986,0.0,591.8627309550986,0.0,0.0,199.45205479452054,0.0,155.00833698540316,354.4603917799237,200.290226281901,65.49266283354514,1309.8532566709027,0.0,0.28,99.24890969837864,184.9204383561644,0.0,0.0,109.87498932496187,109.87498932496187,1.0,160.2515431237035,228.50119578040608,576.8764318976345,0.0,-576.8764318976345,100.0,155.00833698540316,charge
2024-01-01 08:00:00,2137.977860921822,0.0,868.1342465753424,868.1342465753424,0.0,398.675665131679,803.2177023312486,936.0844934588943,414.6059698012517,0.0,414.6059698012517,0.0,0.0,15.930304669572653,0.0,64.91654424409388,80.84684891366655,936.0844934588943,85.69805844245951,1713.96116884919,0.0,0.28,22.637117695826635,243.0775890410959,0.0,0.0,111.62918623687015,111.62918623687015,1.0,36.550860393868646,363.13472322395745,404.10791217828756,0.0,-404.10791217828756,100.0,64.91654424409388,charge
2024-01-01 09:00:00,2566.341640520901,41.178871232876716,1120.8794520547945,1162.0583232876713,41.178871232876716,288.36836391008836,1075.2715337717875,1161.5228716061483,288.36836391008836,0.0,288.36836391008836,0.0,0.0,0.0,0.0,45.60791828300691,45.60791828300691,1161.5228716061483,99.75139413536283,1995.0278827072564,0.0,0.28,12.770217119241934,325.376330520548,0.0,0.0,80.74314189482475,80.74314189482475,1.0,20.619339855747423,504.7472281026088,281.06671385806624,0.0,-281.06671385806624,99.72602739726027,45.60791828300691,charge
