name,pmp_w,area_m2,density_w_m2,n_max,dc_kw_max
Kyocera_Solar_KS20__2008__E__,20.183999999999997,0.072,280.3333333333333,137222,2769.688848
SolFocus_SF_1100S_CPV_28__330____2010_,413.20280001,1.502,275.1017310319574,6577,2717.63481566577
SolFocus_SF_1100S_CPV_28__315____2010_,388.159994508,1.502,258.4287579946738,6577,2552.928283879116
SunPower_SPR_315E_WHT__2007__E__,315.072,1.631,193.17719190680563,6057,1908.391104
Panasonic_VBHN235SA06B__2013_,238.81371131999995,1.26,189.5346915238095,7841,1872.5383104601196
