timestamp,ac_energy_kwh
2024-01-31 00:00:00+00:00,522035.9939910464
2024-02-29 00:00:00+00:00,434883.6266172572
2024-03-31 00:00:00+00:00,569897.7299264936
2024-04-30 00:00:00+00:00,530622.5141492725
2024-05-31 00:00:00+00:00,533612.2472481673
2024-06-30 00:00:00+00:00,535503.6211268805
2024-07-31 00:00:00+00:00,563878.1498216128
2024-08-31 00:00:00+00:00,620132.7869637564
2024-09-30 00:00:00+00:00,595264.8678994194
2024-10-31 00:00:00+00:00,602731.8419452752
2024-11-30 00:00:00+00:00,532899.3153427966
2024-12-31 00:00:00+00:00,497553.9964453852
