datetime,ac_energy_kwh
2024-04-21 00:00:00-05:00,21267.623327658857
2024-04-22 00:00:00-05:00,25861.450717300675
2024-04-23 00:00:00-05:00,26619.948128646007
2024-04-24 00:00:00-05:00,24305.99853936628
2024-04-25 00:00:00-05:00,25925.29253821015
2024-04-26 00:00:00-05:00,24813.5073214812
2024-04-27 00:00:00-05:00,21738.35772355459
2024-04-28 00:00:00-05:00,22239.35350457239
2024-04-29 00:00:00-05:00,23180.75088652887
2024-04-30 00:00:00-05:00,24450.30987967978
2024-05-01 00:00:00-05:00,25303.489337311246
2024-05-02 00:00:00-05:00,20644.811441453487
2024-05-03 00:00:00-05:00,26187.474120227726
2024-05-04 00:00:00-05:00,24743.700276691816
2024-05-05 00:00:00-05:00,21260.90959037818
2024-05-06 00:00:00-05:00,22312.011139754843
2024-05-07 00:00:00-05:00,23774.035811491376
2024-05-08 00:00:00-05:00,22835.062667338236
2024-05-09 00:00:00-05:00,25390.993603093535
2024-05-10 00:00:00-05:00,23550.636876281234
2024-05-11 00:00:00-05:00,22011.085977025275
2024-05-12 00:00:00-05:00,24047.06179007483
2024-05-13 00:00:00-05:00,23658.486418627137
2024-05-14 00:00:00-05:00,24398.984232762305
2024-05-15 00:00:00-05:00,15280.38703969597
2024-05-16 00:00:00-05:00,17140.69317466741
2024-05-17 00:00:00-05:00,21172.471477312734
2024-05-18 00:00:00-05:00,23699.853751782306
2024-05-19 00:00:00-05:00,22814.579307844233
2024-05-20 00:00:00-05:00,24448.899338279483
2024-05-21 00:00:00-05:00,20231.765784076295
2024-05-22 00:00:00-05:00,23297.48263922968
2024-05-23 00:00:00-05:00,23991.470004819006
2024-05-24 00:00:00-05:00,17618.294339189735
2024-05-25 00:00:00-05:00,18229.29261046265
2024-05-26 00:00:00-05:00,25454.92725258635
2024-05-27 00:00:00-05:00,23308.411069584028
2024-05-28 00:00:00-05:00,24154.33839890129
2024-05-29 00:00:00-05:00,23168.334443873224
2024-05-30 00:00:00-05:00,21058.489814721666
2024-05-31 00:00:00-05:00,21905.098773712365
2024-06-01 00:00:00-05:00,23941.3103610689
2024-06-02 00:00:00-05:00,23010.53773864555
2024-06-03 00:00:00-05:00,23796.935095723667
2024-06-04 00:00:00-05:00,18984.615187336287
2024-06-05 00:00:00-05:00,23972.255563255258
2024-06-06 00:00:00-05:00,18710.752845205352
2024-06-07 00:00:00-05:00,23640.682614501533
2024-06-08 00:00:00-05:00,24709.8770232542
2024-06-09 00:00:00-05:00,25530.326703688967
2024-06-10 00:00:00-05:00,23524.295830131978
2024-06-11 00:00:00-05:00,24581.83142733145
2024-06-12 00:00:00-05:00,22286.50084628673
2024-06-13 00:00:00-05:00,23359.645662940733
2024-06-14 00:00:00-05:00,25314.87020672387
2024-06-15 00:00:00-05:00,24231.07253979433
2024-06-16 00:00:00-05:00,23387.169434665553
2024-06-17 00:00:00-05:00,23816.236544231386
2024-06-18 00:00:00-05:00,9159.539887269353
2024-06-19 00:00:00-05:00,25046.832713399508
2024-06-20 00:00:00-05:00,22059.40753345938
2024-06-21 00:00:00-05:00,22916.184849325702
2024-06-22 00:00:00-05:00,23605.34681710073
2024-06-23 00:00:00-05:00,24162.772921703396
2024-06-24 00:00:00-05:00,25301.641515247982
2024-06-25 00:00:00-05:00,24559.839165015463
2024-06-26 00:00:00-05:00,22347.728066888085
2024-06-27 00:00:00-05:00,21105.921567210007
2024-06-28 00:00:00-05:00,22275.816956284405
2024-06-29 00:00:00-05:00,23802.106850068987
2024-06-30 00:00:00-05:00,23991.039996753017
2024-07-01 00:00:00-05:00,22524.96050098712
2024-07-02 00:00:00-05:00,19901.36729703083
2024-07-03 00:00:00-05:00,22562.520029709147
2024-07-04 00:00:00-05:00,22268.918013755025
2024-07-05 00:00:00-05:00,25524.70645538571
2024-07-06 00:00:00-05:00,25297.508419046124
2024-07-07 00:00:00-05:00,21542.895066537578
2024-07-08 00:00:00-05:00,21932.01559028173
2024-07-09 00:00:00-05:00,23848.714563792197
2024-07-10 00:00:00-05:00,21279.842011386212
2024-07-11 00:00:00-05:00,23909.67251802135
2024-07-12 00:00:00-05:00,24362.815147933423
2024-07-13 00:00:00-05:00,24194.96782831345
2024-07-14 00:00:00-05:00,24611.97320741719
2024-07-15 00:00:00-05:00,23670.59237522823
2024-07-16 00:00:00-05:00,21701.58841319391
2024-07-17 00:00:00-05:00,23602.94651051148
2024-07-18 00:00:00-05:00,23896.3248749208
2024-07-19 00:00:00-05:00,24665.930712431484
2024-07-20 00:00:00-05:00,24655.50510487016
2024-07-21 00:00:00-05:00,23888.638943995014
2024-07-22 00:00:00-05:00,16875.84208333384
2024-07-23 00:00:00-05:00,24704.29084558705
2024-07-24 00:00:00-05:00,24993.859292681373
2024-07-25 00:00:00-05:00,24821.98285967847
2024-07-26 00:00:00-05:00,16367.147030778586
2024-07-27 00:00:00-05:00,25164.669795789476
2024-07-28 00:00:00-05:00,25425.96003094625
2024-07-29 00:00:00-05:00,24540.440439470105
2024-07-30 00:00:00-05:00,23643.666620147233
2024-07-31 00:00:00-05:00,22697.086228901047
2024-08-01 00:00:00-05:00,24330.836777942557
2024-08-02 00:00:00-05:00,25280.654613616527
2024-08-03 00:00:00-05:00,25381.561645897338
2024-08-04 00:00:00-05:00,25007.560946217232
2024-08-05 00:00:00-05:00,23902.491578656674
2024-08-06 00:00:00-05:00,23597.04844236663
2024-08-07 00:00:00-05:00,24971.868349567605
2024-08-08 00:00:00-05:00,25060.027706096564
2024-08-09 00:00:00-05:00,25180.715228000077
2024-08-10 00:00:00-05:00,24860.785516841057
2024-08-11 00:00:00-05:00,25728.17812565103
2024-08-12 00:00:00-05:00,25521.129558428405
2024-08-13 00:00:00-05:00,24527.224908651348
2024-08-14 00:00:00-05:00,23866.660640845228
2024-08-15 00:00:00-05:00,25159.340588722862
2024-08-16 00:00:00-05:00,24494.423944169448
2024-08-17 00:00:00-05:00,21278.213972178688
2024-08-18 00:00:00-05:00,23329.351829589225
2024-08-19 00:00:00-05:00,24218.597657269547
2024-08-20 00:00:00-05:00,23948.203768044896
2024-08-21 00:00:00-05:00,23729.908342559
2024-08-22 00:00:00-05:00,23982.690396251288
2024-08-23 00:00:00-05:00,25471.759356526494
2024-08-24 00:00:00-05:00,25179.616093676916
2024-08-25 00:00:00-05:00,25433.666327637206
2024-08-26 00:00:00-05:00,24112.09533027892
2024-08-27 00:00:00-05:00,22788.094820265524
2024-08-28 00:00:00-05:00,25302.302685089857
2024-08-29 00:00:00-05:00,25128.96038600914
2024-08-30 00:00:00-05:00,25273.250045698802
2024-08-31 00:00:00-05:00,23573.04368702493
2024-09-01 00:00:00-05:00,24045.97327535963
2024-09-02 00:00:00-05:00,24498.33789226497
2024-09-03 00:00:00-05:00,24849.941467986053
2024-09-04 00:00:00-05:00,25298.61717456316
2024-09-05 00:00:00-05:00,24837.96254098205
2024-09-06 00:00:00-05:00,26081.007974958473
2024-09-07 00:00:00-05:00,25283.55871759234
2024-09-08 00:00:00-05:00,24500.369305630604
2024-09-09 00:00:00-05:00,22882.285435274458
2024-09-10 00:00:00-05:00,23360.808474570997
2024-09-11 00:00:00-05:00,26104.572602283726
2024-09-12 00:00:00-05:00,26419.13245571014
2024-09-13 00:00:00-05:00,25676.27943042089
2024-09-14 00:00:00-05:00,24305.39986473512
2024-09-15 00:00:00-05:00,22611.260610414593
2024-09-16 00:00:00-05:00,24809.46547690984
2024-09-17 00:00:00-05:00,25186.77907234844
2024-09-18 00:00:00-05:00,26118.350085233757
2024-09-19 00:00:00-05:00,25852.072601369404
2024-09-20 00:00:00-05:00,20932.05239750945
