pv_kwh,ev_kwh,mall_kwh,load_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,grid_export_kwh,bess_action_kwh,bess_mode,bess_to_ev_kwh,bess_to_mall_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_import_kwh,soc_percent,soc_kwh,co2_avoided_indirect_kg,tariff_period,tariff_rate_soles_kwh,cost_if_grid_import_soles,cost_avoided_by_bess_soles,cost_savings_hp_soles,cost_savings_hfp_soles,tariff_index_hp_hfp,ev_demand_after_bess_kwh,mall_demand_after_bess_kwh,load_after_bess_kwh,bess_energy_stored_hourly_kwh,bess_energy_delivered_hourly_kwh,bess_balance_error_hourly_kwh,bess_balance_error_hourly_percent,bess_validation_status_hourly
0.0,151.40399999999988,1058,1209.404,0.0,0.0,0.0,0.0,155.33722641910055,discharge,151.40399999999988,0.0,0.0,1058.0,1058.0,92.23313867904497,1844.6627735808993,68.44974839999995,HP,0.45,544.2318,68.13179999999996,25.738679999999977,0.0,1.607142857142857,0.0,1058.0,1058.0,0.0,151.40399999999988,151.40399999999988,15140.399999999989,CRITICAL
0.0,155.99199999999988,1071,1226.992,0.0,0.0,0.0,0.0,160.04441509846723,discharge,155.99199999999988,0.0,0.0,1071.0,1071.0,84.23091792412161,1684.618358482432,70.52398319999995,HP,0.45,552.1464,70.19639999999994,26.518639999999976,0.0,1.607142857142857,0.0,1071.0,1071.0,0.0,155.99199999999988,155.99199999999988,15599.199999999988,CRITICAL
0.0,151.40399999999988,1054,1205.404,0.0,0.0,0.0,0.0,155.33722641910055,discharge,151.40399999999988,0.0,0.0,1054.0,1054.0,76.46405660316657,1529.2811320633316,68.44974839999995,HP,0.45,542.4318000000001,68.13179999999996,25.738679999999977,0.0,1.607142857142857,0.0,1054.0,1054.0,0.0,151.40399999999988,151.40399999999988,15140.399999999989,CRITICAL
0.0,0.0,1009,1009.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,1009.0,1009.0,76.46405660316657,1529.2811320633316,0.0,HP,0.45,454.05,0.0,0.0,0.0,1.607142857142857,0.0,1009.0,1009.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,911,911.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,911.0,911.0,56.46405660316658,1129.2811320633316,0.0,HP,0.45,409.95,0.0,0.0,0.0,1.607142857142857,0.0,911.0,911.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,738,738.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,738.0,738.0,36.464056603166576,729.2811320633316,0.0,HFP,0.28,206.64000000000001,0.0,0.0,0.0,1.0,0.0,738.0,738.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,659,659.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,659.0,659.0,20.0,400.0,0.0,HFP,0.28,184.52,0.0,0.0,0.0,1.0,0.0,659.0,659.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,604,604.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,604.0,604.0,20.0,400.0,0.0,HFP,0.28,169.12,0.0,0.0,0.0,1.0,0.0,604.0,604.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,567,567.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,567.0,567.0,20.0,400.0,0.0,HFP,0.28,158.76000000000002,0.0,0.0,0.0,1.0,0.0,567.0,567.0,0.0,0.0,0.0,0.0,OK
0.0,0.0,577,577.0,0.0,0.0,0.0,0.0,0.0,idle,0.0,0.0,0.0,577.0,577.0,20.0,400.0,0.0,HFP,0.28,161.56,0.0,0.0,0.0,1.0,0.0,577.0,577.0,0.0,0.0,0.0,0.0,OK
