hour,solar_kw,bess_soc_percent,mall_load_kw
61,2024-01-03 13:00:00-05:00,2024-01-03 13:00:00,03/01/2024 13:00;2404
62,2024-01-03 14:00:00-05:00,2024-01-03 14:00:00,03/01/2024 14:00;2388
63,2024-01-03 15:00:00-05:00,2024-01-03 15:00:00,03/01/2024 15:00;2446
64,2024-01-03 16:00:00-05:00,2024-01-03 16:00:00,03/01/2024 16:00;2315
65,2024-01-03 17:00:00-05:00,2024-01-03 17:00:00,03/01/2024 17:00;2267
66,2024-01-03 18:00:00-05:00,2024-01-03 18:00:00,03/01/2024 18:00;2254
67,2024-01-03 19:00:00-05:00,2024-01-03 19:00:00,03/01/2024 19:00;2215
68,2024-01-03 20:00:00-05:00,2024-01-03 20:00:00,03/01/2024 20:00;2158
69,2024-01-03 21:00:00-05:00,2024-01-03 21:00:00,03/01/2024 21:00;1993
70,2024-01-03 22:00:00-05:00,2024-01-03 22:00:00,03/01/2024 22:00;1213
71,2024-01-03 23:00:00-05:00,2024-01-03 23:00:00,03/01/2024 23:00;733
72,2024-01-04 00:00:00-05:00,2024-01-04 00:00:00,04/01/2024 00:00;642
73,2024-01-04 01:00:00-05:00,2024-01-04 01:00:00,04/01/2024 01:00;609
74,2024-01-04 02:00:00-05:00,2024-01-04 02:00:00,04/01/2024 02:00;616
75,2024-01-04 03:00:00-05:00,2024-01-04 03:00:00,04/01/2024 03:00;598
76,2024-01-04 04:00:00-05:00,2024-01-04 04:00:00,04/01/2024 04:00;584
77,2024-01-04 05:00:00-05:00,2024-01-04 05:00:00,04/01/2024 05:00;533
78,2024-01-04 06:00:00-05:00,2024-01-04 06:00:00,04/01/2024 06:00;646
79,2024-01-04 07:00:00-05:00,2024-01-04 07:00:00,04/01/2024 07:00;738
80,2024-01-04 08:00:00-05:00,2024-01-04 08:00:00,04/01/2024 08:00;947
81,2024-01-04 09:00:00-05:00,2024-01-04 09:00:00,04/01/2024 09:00;1251
82,2024-01-04 10:00:00-05:00,2024-01-04 10:00:00,04/01/2024 10:00;1983
83,2024-01-04 11:00:00-05:00,2024-01-04 11:00:00,04/01/2024 11:00;2439
84,2024-01-04 12:00:00-05:00,2024-01-04 12:00:00,04/01/2024 12:00;2428
85,2024-01-04 13:00:00-05:00,2024-01-04 13:00:00,04/01/2024 13:00;2419
86,2024-01-04 14:00:00-05:00,2024-01-04 14:00:00,04/01/2024 14:00;2556
87,2024-01-04 15:00:00-05:00,2024-01-04 15:00:00,04/01/2024 15:00;2508
88,2024-01-04 16:00:00-05:00,2024-01-04 16:00:00,04/01/2024 16:00;2402
89,2024-01-04 17:00:00-05:00,2024-01-04 17:00:00,04/01/2024 17:00;2336
90,2024-01-04 18:00:00-05:00,2024-01-04 18:00:00,04/01/2024 18:00;2278
91,2024-01-04 19:00:00-05:00,2024-01-04 19:00:00,04/01/2024 19:00;2189
92,2024-01-04 20:00:00-05:00,2024-01-04 20:00:00,04/01/2024 20:00;2170
93,2024-01-04 21:00:00-05:00,2024-01-04 21:00:00,04/01/2024 21:00;2038
94,2024-01-04 22:00:00-05:00,2024-01-04 22:00:00,04/01/2024 22:00;1205
95,2024-01-04 23:00:00-05:00,2024-01-04 23:00:00,04/01/2024 23:00;729
96,2024-01-05 00:00:00-05:00,2024-01-05 00:00:00,05/01/2024 00:00;649
97,2024-01-05 01:00:00-05:00,2024-01-05 01:00:00,05/01/2024 01:00;608
98,2024-01-05 02:00:00-05:00,2024-01-05 02:00:00,05/01/2024 02:00;595
99,2024-01-05 03:00:00-05:00,2024-01-05 03:00:00,05/01/2024 03:00;584
100,2024-01-05 04:00:00-05:00,2024-01-05 04:00:00,05/01/2024 04:00;574
101,2024-01-05 05:00:00-05:00,2024-01-05 05:00:00,05/01/2024 05:00;536
102,2024-01-05 06:00:00-05:00,2024-01-05 06:00:00,05/01/2024 06:00;615
103,2024-01-05 07:00:00-05:00,2024-01-05 07:00:00,05/01/2024 07:00;666
104,2024-01-05 08:00:00-05:00,2024-01-05 08:00:00,05/01/2024 08:00;900
105,2024-01-05 09:00:00-05:00,2024-01-05 09:00:00,05/01/2024 09:00;1192
106,2024-01-05 10:00:00-05:00,2024-01-05 10:00:00,05/01/2024 10:00;1735
107,2024-01-05 11:00:00-05:00,2024-01-05 11:00:00,05/01/2024 11:00;2133
108,2024-01-05 12:00:00-05:00,2024-01-05 12:00:00,05/01/2024 12:00;2195
109,2024-01-05 13:00:00-05:00,2024-01-05 13:00:00,05/01/2024 13:00;2277
110,2024-01-05 14:00:00-05:00,2024-01-05 14:00:00,05/01/2024 14:00;2329
111,2024-01-05 15:00:00-05:00,2024-01-05 15:00:00,05/01/2024 15:00;2391
112,2024-01-05 16:00:00-05:00,2024-01-05 16:00:00,05/01/2024 16:00;2381
113,2024-01-05 17:00:00-05:00,2024-01-05 17:00:00,05/01/2024 17:00;2330
114,2024-01-05 18:00:00-05:00,2024-01-05 18:00:00,05/01/2024 18:00;2306
115,2024-01-05 19:00:00-05:00,2024-01-05 19:00:00,05/01/2024 19:00;2274
116,2024-01-05 20:00:00-05:00,2024-01-05 20:00:00,05/01/2024 20:00;2229
117,2024-01-05 21:00:00-05:00,2024-01-05 21:00:00,05/01/2024 21:00;2071
118,2024-01-05 22:00:00-05:00,2024-01-05 22:00:00,05/01/2024 22:00;1193
119,2024-01-05 23:00:00-05:00,2024-01-05 23:00:00,05/01/2024 23:00;628
120,2024-01-06 00:00:00-05:00,2024-01-06 00:00:00,06/01/2024 00:00;563
121,2024-01-06 01:00:00-05:00,2024-01-06 01:00:00,06/01/2024 01:00;573
122,2024-01-06 02:00:00-05:00,2024-01-06 02:00:00,06/01/2024 02:00;570
123,2024-01-06 03:00:00-05:00,2024-01-06 03:00:00,06/01/2024 03:00;556
124,2024-01-06 04:00:00-05:00,2024-01-06 04:00:00,06/01/2024 04:00;539
125,2024-01-06 05:00:00-05:00,2024-01-06 05:00:00,06/01/2024 05:00;526
126,2024-01-06 06:00:00-05:00,2024-01-06 06:00:00,06/01/2024 06:00;557
127,2024-01-06 07:00:00-05:00,2024-01-06 07:00:00,06/01/2024 07:00;650
128,2024-01-06 08:00:00-05:00,2024-01-06 08:00:00,06/01/2024 08:00;899
129,2024-01-06 09:00:00-05:00,2024-01-06 09:00:00,06/01/2024 09:00;1164
130,2024-01-06 10:00:00-05:00,2024-01-06 10:00:00,06/01/2024 10:00;1827
131,2024-01-06 11:00:00-05:00,2024-01-06 11:00:00,06/01/2024 11:00;2291
132,2024-01-06 12:00:00-05:00,2024-01-06 12:00:00,06/01/2024 12:00;2398
133,2024-01-06 13:00:00-05:00,2024-01-06 13:00:00,06/01/2024 13:00;2380
134,2024-01-06 14:00:00-05:00,2024-01-06 14:00:00,06/01/2024 14:00;2422
135,2024-01-06 15:00:00-05:00,2024-01-06 15:00:00,06/01/2024 15:00;2469
136,2024-01-06 16:00:00-05:00,2024-01-06 16:00:00,06/01/2024 16:00;2459
