hour,solar_kw,bess_soc_percent,mall_load_kw
1874,2024-03-19 02:00:00-05:00,2024-03-19 02:00:00,19/03/2024 02:00;457
1875,2024-03-19 03:00:00-05:00,2024-03-19 03:00:00,19/03/2024 03:00;460
1876,2024-03-19 04:00:00-05:00,2024-03-19 04:00:00,19/03/2024 04:00;450
1877,2024-03-19 05:00:00-05:00,2024-03-19 05:00:00,19/03/2024 05:00;419
1878,2024-03-19 06:00:00-05:00,2024-03-19 06:00:00,19/03/2024 06:00;525
1879,2024-03-19 07:00:00-05:00,2024-03-19 07:00:00,19/03/2024 07:00;728
1880,2024-03-19 08:00:00-05:00,2024-03-19 08:00:00,19/03/2024 08:00;1013
1881,2024-03-19 09:00:00-05:00,2024-03-19 09:00:00,19/03/2024 09:00;1186
1882,2024-03-19 10:00:00-05:00,2024-03-19 10:00:00,19/03/2024 10:00;1745
1883,2024-03-19 11:00:00-05:00,2024-03-19 11:00:00,19/03/2024 11:00;2229
1884,2024-03-19 12:00:00-05:00,2024-03-19 12:00:00,19/03/2024 12:00;2216
1885,2024-03-19 13:00:00-05:00,2024-03-19 13:00:00,19/03/2024 13:00;2215
1886,2024-03-19 14:00:00-05:00,2024-03-19 14:00:00,19/03/2024 14:00;2271
1887,2024-03-19 15:00:00-05:00,2024-03-19 15:00:00,19/03/2024 15:00;2171
1888,2024-03-19 16:00:00-05:00,2024-03-19 16:00:00,19/03/2024 16:00;2099
1889,2024-03-19 17:00:00-05:00,2024-03-19 17:00:00,19/03/2024 17:00;2075
1890,2024-03-19 18:00:00-05:00,2024-03-19 18:00:00,19/03/2024 18:00;2093
1891,2024-03-19 19:00:00-05:00,2024-03-19 19:00:00,19/03/2024 19:00;2061
1892,2024-03-19 20:00:00-05:00,2024-03-19 20:00:00,19/03/2024 20:00;2034
1893,2024-03-19 21:00:00-05:00,2024-03-19 21:00:00,19/03/2024 21:00;1862
1894,2024-03-19 22:00:00-05:00,2024-03-19 22:00:00,19/03/2024 22:00;1045
1895,2024-03-19 23:00:00-05:00,2024-03-19 23:00:00,19/03/2024 23:00;560
1896,2024-03-20 00:00:00-05:00,2024-03-20 00:00:00,20/03/2024 00:00;449
1897,2024-03-20 01:00:00-05:00,2024-03-20 01:00:00,20/03/2024 01:00;438
1898,2024-03-20 02:00:00-05:00,2024-03-20 02:00:00,20/03/2024 02:00;446
1899,2024-03-20 03:00:00-05:00,2024-03-20 03:00:00,20/03/2024 03:00;435
1900,2024-03-20 04:00:00-05:00,2024-03-20 04:00:00,20/03/2024 04:00;436
1901,2024-03-20 05:00:00-05:00,2024-03-20 05:00:00,20/03/2024 05:00;419
1902,2024-03-20 06:00:00-05:00,2024-03-20 06:00:00,20/03/2024 06:00;508
1903,2024-03-20 07:00:00-05:00,2024-03-20 07:00:00,20/03/2024 07:00;672
1904,2024-03-20 08:00:00-05:00,2024-03-20 08:00:00,20/03/2024 08:00;893
1905,2024-03-20 09:00:00-05:00,2024-03-20 09:00:00,20/03/2024 09:00;1110
1906,2024-03-20 10:00:00-05:00,2024-03-20 10:00:00,20/03/2024 10:00;1553
1907,2024-03-20 11:00:00-05:00,2024-03-20 11:00:00,20/03/2024 11:00;1951
1908,2024-03-20 12:00:00-05:00,2024-03-20 12:00:00,20/03/2024 12:00;1968
1909,2024-03-20 13:00:00-05:00,2024-03-20 13:00:00,20/03/2024 13:00;1989
1910,2024-03-20 14:00:00-05:00,2024-03-20 14:00:00,20/03/2024 14:00;2041
1911,2024-03-20 15:00:00-05:00,2024-03-20 15:00:00,20/03/2024 15:00;2113
1912,2024-03-20 16:00:00-05:00,2024-03-20 16:00:00,20/03/2024 16:00;2106
1913,2024-03-20 17:00:00-05:00,2024-03-20 17:00:00,20/03/2024 17:00;1968
1914,2024-03-20 18:00:00-05:00,2024-03-20 18:00:00,20/03/2024 18:00;2096
1915,2024-03-20 19:00:00-05:00,2024-03-20 19:00:00,20/03/2024 19:00;2123
1916,2024-03-20 20:00:00-05:00,2024-03-20 20:00:00,20/03/2024 20:00;2082
1917,2024-03-20 21:00:00-05:00,2024-03-20 21:00:00,20/03/2024 21:00;1896
1918,2024-03-20 22:00:00-05:00,2024-03-20 22:00:00,20/03/2024 22:00;1034
1919,2024-03-20 23:00:00-05:00,2024-03-20 23:00:00,20/03/2024 23:00;570
1920,2024-03-21 00:00:00-05:00,2024-03-21 00:00:00,21/03/2024 00:00;515
1921,2024-03-21 01:00:00-05:00,2024-03-21 01:00:00,21/03/2024 01:00;485
1922,2024-03-21 02:00:00-05:00,2024-03-21 02:00:00,21/03/2024 02:00;481
1923,2024-03-21 03:00:00-05:00,2024-03-21 03:00:00,21/03/2024 03:00;477
1924,2024-03-21 04:00:00-05:00,2024-03-21 04:00:00,21/03/2024 04:00;467
1925,2024-03-21 05:00:00-05:00,2024-03-21 05:00:00,21/03/2024 05:00;450
1926,2024-03-21 06:00:00-05:00,2024-03-21 06:00:00,21/03/2024 06:00;512
1927,2024-03-21 07:00:00-05:00,2024-03-21 07:00:00,21/03/2024 07:00;763
1928,2024-03-21 08:00:00-05:00,2024-03-21 08:00:00,21/03/2024 08:00;1096
1929,2024-03-21 09:00:00-05:00,2024-03-21 09:00:00,21/03/2024 09:00;1274
1930,2024-03-21 10:00:00-05:00,2024-03-21 10:00:00,21/03/2024 10:00;1765
1931,2024-03-21 11:00:00-05:00,2024-03-21 11:00:00,21/03/2024 11:00;2267
1932,2024-03-21 12:00:00-05:00,2024-03-21 12:00:00,21/03/2024 12:00;2274
1933,2024-03-21 13:00:00-05:00,2024-03-21 13:00:00,21/03/2024 13:00;2206
1934,2024-03-21 14:00:00-05:00,2024-03-21 14:00:00,21/03/2024 14:00;2218
1935,2024-03-21 15:00:00-05:00,2024-03-21 15:00:00,21/03/2024 15:00;2271
1936,2024-03-21 16:00:00-05:00,2024-03-21 16:00:00,21/03/2024 16:00;2285
1937,2024-03-21 17:00:00-05:00,2024-03-21 17:00:00,21/03/2024 17:00;2256
1938,2024-03-21 18:00:00-05:00,2024-03-21 18:00:00,21/03/2024 18:00;2216
1939,2024-03-21 19:00:00-05:00,2024-03-21 19:00:00,21/03/2024 19:00;2196
1940,2024-03-21 20:00:00-05:00,2024-03-21 20:00:00,21/03/2024 20:00;2140
1941,2024-03-21 21:00:00-05:00,2024-03-21 21:00:00,21/03/2024 21:00;1941
1942,2024-03-21 22:00:00-05:00,2024-03-21 22:00:00,21/03/2024 22:00;1119
1943,2024-03-21 23:00:00-05:00,2024-03-21 23:00:00,21/03/2024 23:00;587
1944,2024-03-22 00:00:00-05:00,2024-03-22 00:00:00,22/03/2024 00:00;498
1945,2024-03-22 01:00:00-05:00,2024-03-22 01:00:00,22/03/2024 01:00;449
1946,2024-03-22 02:00:00-05:00,2024-03-22 02:00:00,22/03/2024 02:00;443
1947,2024-03-22 03:00:00-05:00,2024-03-22 03:00:00,22/03/2024 03:00;432
1948,2024-03-22 04:00:00-05:00,2024-03-22 04:00:00,22/03/2024 04:00;432
1949,2024-03-22 05:00:00-05:00,2024-03-22 05:00:00,22/03/2024 05:00;409
1950,2024-03-22 06:00:00-05:00,2024-03-22 06:00:00,22/03/2024 06:00;454
1951,2024-03-22 07:00:00-05:00,2024-03-22 07:00:00,22/03/2024 07:00;835
1952,2024-03-22 08:00:00-05:00,2024-03-22 08:00:00,22/03/2024 08:00;1093
1953,2024-03-22 09:00:00-05:00,2024-03-22 09:00:00,22/03/2024 09:00;1233
1954,2024-03-22 10:00:00-05:00,2024-03-22 10:00:00,22/03/2024 10:00;1954
1955,2024-03-22 11:00:00-05:00,2024-03-22 11:00:00,22/03/2024 11:00;2253
1956,2024-03-22 12:00:00-05:00,2024-03-22 12:00:00,22/03/2024 12:00;2412
1957,2024-03-22 13:00:00-05:00,2024-03-22 13:00:00,22/03/2024 13:00;2384
1958,2024-03-22 14:00:00-05:00,2024-03-22 14:00:00,22/03/2024 14:00;2398
1959,2024-03-22 15:00:00-05:00,2024-03-22 15:00:00,22/03/2024 15:00;2387
1960,2024-03-22 16:00:00-05:00,2024-03-22 16:00:00,22/03/2024 16:00;2254
1961,2024-03-22 17:00:00-05:00,2024-03-22 17:00:00,22/03/2024 17:00;1639
1962,2024-03-22 18:00:00-05:00,2024-03-22 18:00:00,22/03/2024 18:00;1986
1963,2024-03-22 19:00:00-05:00,2024-03-22 19:00:00,22/03/2024 19:00;1996
1964,2024-03-22 20:00:00-05:00,2024-03-22 20:00:00,22/03/2024 20:00;1948
1965,2024-03-22 21:00:00-05:00,2024-03-22 21:00:00,22/03/2024 21:00;1848
1966,2024-03-22 22:00:00-05:00,2024-03-22 22:00:00,22/03/2024 22:00;1065
1967,2024-03-22 23:00:00-05:00,2024-03-22 23:00:00,22/03/2024 23:00;553
1968,2024-03-23 00:00:00-05:00,2024-03-23 00:00:00,23/03/2024 00:00;488
1969,2024-03-23 01:00:00-05:00,2024-03-23 01:00:00,23/03/2024 01:00;443
1970,2024-03-23 02:00:00-05:00,2024-03-23 02:00:00,23/03/2024 02:00;453
1971,2024-03-23 03:00:00-05:00,2024-03-23 03:00:00,23/03/2024 03:00;478
1972,2024-03-23 04:00:00-05:00,2024-03-23 04:00:00,23/03/2024 04:00;471
1973,2024-03-23 05:00:00-05:00,2024-03-23 05:00:00,23/03/2024 05:00;453
1974,2024-03-23 06:00:00-05:00,2024-03-23 06:00:00,23/03/2024 06:00;491
1975,2024-03-23 07:00:00-05:00,2024-03-23 07:00:00,23/03/2024 07:00;698
1976,2024-03-23 08:00:00-05:00,2024-03-23 08:00:00,23/03/2024 08:00;1105
1977,2024-03-23 09:00:00-05:00,2024-03-23 09:00:00,23/03/2024 09:00;1205
1978,2024-03-23 10:00:00-05:00,2024-03-23 10:00:00,23/03/2024 10:00;1705
1979,2024-03-23 11:00:00-05:00,2024-03-23 11:00:00,23/03/2024 11:00;2098
1980,2024-03-23 12:00:00-05:00,2024-03-23 12:00:00,23/03/2024 12:00;2198
1981,2024-03-23 13:00:00-05:00,2024-03-23 13:00:00,23/03/2024 13:00;2236
1982,2024-03-23 14:00:00-05:00,2024-03-23 14:00:00,23/03/2024 14:00;2212
1983,2024-03-23 15:00:00-05:00,2024-03-23 15:00:00,23/03/2024 15:00;2219
1984,2024-03-23 16:00:00-05:00,2024-03-23 16:00:00,23/03/2024 16:00;2218
1985,2024-03-23 17:00:00-05:00,2024-03-23 17:00:00,23/03/2024 17:00;2226
1986,2024-03-23 18:00:00-05:00,2024-03-23 18:00:00,23/03/2024 18:00;2157
1987,2024-03-23 19:00:00-05:00,2024-03-23 19:00:00,23/03/2024 19:00;2126
1988,2024-03-23 20:00:00-05:00,2024-03-23 20:00:00,23/03/2024 20:00;2050
1989,2024-03-23 21:00:00-05:00,2024-03-23 21:00:00,23/03/2024 21:00;1803
1990,2024-03-23 22:00:00-05:00,2024-03-23 22:00:00,23/03/2024 22:00;1147
1991,2024-03-23 23:00:00-05:00,2024-03-23 23:00:00,23/03/2024 23:00;628
1992,2024-03-24 00:00:00-05:00,2024-03-24 00:00:00,24/03/2024 00:00;573
1993,2024-03-24 01:00:00-05:00,2024-03-24 01:00:00,24/03/2024 01:00;536
1994,2024-03-24 02:00:00-05:00,2024-03-24 02:00:00,24/03/2024 02:00;533
1995,2024-03-24 03:00:00-05:00,2024-03-24 03:00:00,24/03/2024 03:00;520
1996,2024-03-24 04:00:00-05:00,2024-03-24 04:00:00,24/03/2024 04:00;509
1997,2024-03-24 05:00:00-05:00,2024-03-24 05:00:00,24/03/2024 05:00;484
1998,2024-03-24 06:00:00-05:00,2024-03-24 06:00:00,24/03/2024 06:00;481
1999,2024-03-24 07:00:00-05:00,2024-03-24 07:00:00,24/03/2024 07:00;499
2000,2024-03-24 08:00:00-05:00,2024-03-24 08:00:00,24/03/2024 08:00;612
2001,2024-03-24 09:00:00-05:00,2024-03-24 09:00:00,24/03/2024 09:00;1054
2002,2024-03-24 10:00:00-05:00,2024-03-24 10:00:00,24/03/2024 10:00;1621
2003,2024-03-24 11:00:00-05:00,2024-03-24 11:00:00,24/03/2024 11:00;2095
2004,2024-03-24 12:00:00-05:00,2024-03-24 12:00:00,24/03/2024 12:00;2172
2005,2024-03-24 13:00:00-05:00,2024-03-24 13:00:00,24/03/2024 13:00;2181
2006,2024-03-24 14:00:00-05:00,2024-03-24 14:00:00,24/03/2024 14:00;2189
2007,2024-03-24 15:00:00-05:00,2024-03-24 15:00:00,24/03/2024 15:00;2147
2008,2024-03-24 16:00:00-05:00,2024-03-24 16:00:00,24/03/2024 16:00;2109
2009,2024-03-24 17:00:00-05:00,2024-03-24 17:00:00,24/03/2024 17:00;2129
2010,2024-03-24 18:00:00-05:00,2024-03-24 18:00:00,24/03/2024 18:00;2153
2011,2024-03-24 19:00:00-05:00,2024-03-24 19:00:00,24/03/2024 19:00;2123
2012,2024-03-24 20:00:00-05:00,2024-03-24 20:00:00,24/03/2024 20:00;2085
2013,2024-03-24 21:00:00-05:00,2024-03-24 21:00:00,24/03/2024 21:00;1882
2014,2024-03-24 22:00:00-05:00,2024-03-24 22:00:00,24/03/2024 22:00;1099
2015,2024-03-24 23:00:00-05:00,2024-03-24 23:00:00,24/03/2024 23:00;659
2016,2024-03-25 00:00:00-05:00,2024-03-25 00:00:00,25/03/2024 00:00;577
2017,2024-03-25 01:00:00-05:00,2024-03-25 01:00:00,25/03/2024 01:00;543
2018,2024-03-25 02:00:00-05:00,2024-03-25 02:00:00,25/03/2024 02:00;499
2019,2024-03-25 03:00:00-05:00,2024-03-25 03:00:00,25/03/2024 03:00;467
2020,2024-03-25 04:00:00-05:00,2024-03-25 04:00:00,25/03/2024 04:00;450
2021,2024-03-25 05:00:00-05:00,2024-03-25 05:00:00,25/03/2024 05:00;415
2022,2024-03-25 06:00:00-05:00,2024-03-25 06:00:00,25/03/2024 06:00;477
2023,2024-03-25 07:00:00-05:00,2024-03-25 07:00:00,25/03/2024 07:00;581
2024,2024-03-25 08:00:00-05:00,2024-03-25 08:00:00,25/03/2024 08:00;834
2025,2024-03-25 09:00:00-05:00,2024-03-25 09:00:00,25/03/2024 09:00;1161
2026,2024-03-25 10:00:00-05:00,2024-03-25 10:00:00,25/03/2024 10:00;1748
2027,2024-03-25 11:00:00-05:00,2024-03-25 11:00:00,25/03/2024 11:00;2281
2028,2024-03-25 12:00:00-05:00,2024-03-25 12:00:00,25/03/2024 12:00;2388
2029,2024-03-25 13:00:00-05:00,2024-03-25 13:00:00,25/03/2024 13:00;2339
2030,2024-03-25 14:00:00-05:00,2024-03-25 14:00:00,25/03/2024 14:00;2336
2031,2024-03-25 15:00:00-05:00,2024-03-25 15:00:00,25/03/2024 15:00;2459
2032,2024-03-25 16:00:00-05:00,2024-03-25 16:00:00,25/03/2024 16:00;2445
2033,2024-03-25 17:00:00-05:00,2024-03-25 17:00:00,25/03/2024 17:00;2425
2034,2024-03-25 18:00:00-05:00,2024-03-25 18:00:00,25/03/2024 18:00;2381
2035,2024-03-25 19:00:00-05:00,2024-03-25 19:00:00,25/03/2024 19:00;2330
2036,2024-03-25 20:00:00-05:00,2024-03-25 20:00:00,25/03/2024 20:00;2274
2037,2024-03-25 21:00:00-05:00,2024-03-25 21:00:00,25/03/2024 21:00;2092
2038,2024-03-25 22:00:00-05:00,2024-03-25 22:00:00,25/03/2024 22:00;1130
2039,2024-03-25 23:00:00-05:00,2024-03-25 23:00:00,25/03/2024 23:00;550
2040,2024-03-26 00:00:00-05:00,2024-03-26 00:00:00,26/03/2024 00:00;485
2041,2024-03-26 01:00:00-05:00,2024-03-26 01:00:00,26/03/2024 01:00;471
2042,2024-03-26 02:00:00-05:00,2024-03-26 02:00:00,26/03/2024 02:00;474
2043,2024-03-26 03:00:00-05:00,2024-03-26 03:00:00,26/03/2024 03:00;477
2044,2024-03-26 04:00:00-05:00,2024-03-26 04:00:00,26/03/2024 04:00;471
2045,2024-03-26 05:00:00-05:00,2024-03-26 05:00:00,26/03/2024 05:00;435
2046,2024-03-26 06:00:00-05:00,2024-03-26 06:00:00,26/03/2024 06:00;524
2047,2024-03-26 07:00:00-05:00,2024-03-26 07:00:00,26/03/2024 07:00;687
2048,2024-03-26 08:00:00-05:00,2024-03-26 08:00:00,26/03/2024 08:00;1089
2049,2024-03-26 09:00:00-05:00,2024-03-26 09:00:00,26/03/2024 09:00;1271
2050,2024-03-26 10:00:00-05:00,2024-03-26 10:00:00,26/03/2024 10:00;1760
2051,2024-03-26 11:00:00-05:00,2024-03-26 11:00:00,26/03/2024 11:00;2319
2052,2024-03-26 12:00:00-05:00,2024-03-26 12:00:00,26/03/2024 12:00;2363
2053,2024-03-26 13:00:00-05:00,2024-03-26 13:00:00,26/03/2024 13:00;2353
2054,2024-03-26 14:00:00-05:00,2024-03-26 14:00:00,26/03/2024 14:00;2219
2055,2024-03-26 15:00:00-05:00,2024-03-26 15:00:00,26/03/2024 15:00;2223
2056,2024-03-26 16:00:00-05:00,2024-03-26 16:00:00,26/03/2024 16:00;2198
2057,2024-03-26 17:00:00-05:00,2024-03-26 17:00:00,26/03/2024 17:00;2188
2058,2024-03-26 18:00:00-05:00,2024-03-26 18:00:00,26/03/2024 18:00;2175
2059,2024-03-26 19:00:00-05:00,2024-03-26 19:00:00,26/03/2024 19:00;2186
2060,2024-03-26 20:00:00-05:00,2024-03-26 20:00:00,26/03/2024 20:00;2126
2061,2024-03-26 21:00:00-05:00,2024-03-26 21:00:00,26/03/2024 21:00;1954
2062,2024-03-26 22:00:00-05:00,2024-03-26 22:00:00,26/03/2024 22:00;1017
2063,2024-03-26 23:00:00-05:00,2024-03-26 23:00:00,26/03/2024 23:00;567
2064,2024-03-27 00:00:00-05:00,2024-03-27 00:00:00,27/03/2024 00:00;506
2065,2024-03-27 01:00:00-05:00,2024-03-27 01:00:00,27/03/2024 01:00;478
2066,2024-03-27 02:00:00-05:00,2024-03-27 02:00:00,27/03/2024 02:00;468
2067,2024-03-27 03:00:00-05:00,2024-03-27 03:00:00,27/03/2024 03:00;463
2068,2024-03-27 04:00:00-05:00,2024-03-27 04:00:00,27/03/2024 04:00;457
2069,2024-03-27 05:00:00-05:00,2024-03-27 05:00:00,27/03/2024 05:00;439
2070,2024-03-27 06:00:00-05:00,2024-03-27 06:00:00,27/03/2024 06:00;526
2071,2024-03-27 07:00:00-05:00,2024-03-27 07:00:00,27/03/2024 07:00;588
2072,2024-03-27 08:00:00-05:00,2024-03-27 08:00:00,27/03/2024 08:00;944
2073,2024-03-27 09:00:00-05:00,2024-03-27 09:00:00,27/03/2024 09:00;1137
2074,2024-03-27 10:00:00-05:00,2024-03-27 10:00:00,27/03/2024 10:00;1577
2075,2024-03-27 11:00:00-05:00,2024-03-27 11:00:00,27/03/2024 11:00;2147
2076,2024-03-27 12:00:00-05:00,2024-03-27 12:00:00,27/03/2024 12:00;2267
2077,2024-03-27 13:00:00-05:00,2024-03-27 13:00:00,27/03/2024 13:00;2260
2078,2024-03-27 14:00:00-05:00,2024-03-27 14:00:00,27/03/2024 14:00;2305
2079,2024-03-27 15:00:00-05:00,2024-03-27 15:00:00,27/03/2024 15:00;2342
2080,2024-03-27 16:00:00-05:00,2024-03-27 16:00:00,27/03/2024 16:00;2287
2081,2024-03-27 17:00:00-05:00,2024-03-27 17:00:00,27/03/2024 17:00;2253
2082,2024-03-27 18:00:00-05:00,2024-03-27 18:00:00,27/03/2024 18:00;2208
2083,2024-03-27 19:00:00-05:00,2024-03-27 19:00:00,27/03/2024 19:00;2171
2084,2024-03-27 20:00:00-05:00,2024-03-27 20:00:00,27/03/2024 20:00;2146
2085,2024-03-27 21:00:00-05:00,2024-03-27 21:00:00,27/03/2024 21:00;1978
2086,2024-03-27 22:00:00-05:00,2024-03-27 22:00:00,27/03/2024 22:00;1099
2087,2024-03-27 23:00:00-05:00,2024-03-27 23:00:00,27/03/2024 23:00;573
2088,2024-03-28 00:00:00-05:00,2024-03-28 00:00:00,28/03/2024 00:00;502
2089,2024-03-28 01:00:00-05:00,2024-03-28 01:00:00,28/03/2024 01:00;481
2090,2024-03-28 02:00:00-05:00,2024-03-28 02:00:00,28/03/2024 02:00;464
2091,2024-03-28 03:00:00-05:00,2024-03-28 03:00:00,28/03/2024 03:00;452
2092,2024-03-28 04:00:00-05:00,2024-03-28 04:00:00,28/03/2024 04:00;446
2093,2024-03-28 05:00:00-05:00,2024-03-28 05:00:00,28/03/2024 05:00;415
2094,2024-03-28 06:00:00-05:00,2024-03-28 06:00:00,28/03/2024 06:00;443
2095,2024-03-28 07:00:00-05:00,2024-03-28 07:00:00,28/03/2024 07:00;499
2096,2024-03-28 08:00:00-05:00,2024-03-28 08:00:00,28/03/2024 08:00;916
2097,2024-03-28 09:00:00-05:00,2024-03-28 09:00:00,28/03/2024 09:00;1339
2098,2024-03-28 10:00:00-05:00,2024-03-28 10:00:00,28/03/2024 10:00;1863
2099,2024-03-28 11:00:00-05:00,2024-03-28 11:00:00,28/03/2024 11:00;2449
2100,2024-03-28 12:00:00-05:00,2024-03-28 12:00:00,28/03/2024 12:00;2604
2101,2024-03-28 13:00:00-05:00,2024-03-28 13:00:00,28/03/2024 13:00;2639
2102,2024-03-28 14:00:00-05:00,2024-03-28 14:00:00,28/03/2024 14:00;2636
2103,2024-03-28 15:00:00-05:00,2024-03-28 15:00:00,28/03/2024 15:00;2597
2104,2024-03-28 16:00:00-05:00,2024-03-28 16:00:00,28/03/2024 16:00;2521
2105,2024-03-28 17:00:00-05:00,2024-03-28 17:00:00,28/03/2024 17:00;2463
2106,2024-03-28 18:00:00-05:00,2024-03-28 18:00:00,28/03/2024 18:00;2366
2107,2024-03-28 19:00:00-05:00,2024-03-28 19:00:00,28/03/2024 19:00;2330
2108,2024-03-28 20:00:00-05:00,2024-03-28 20:00:00,28/03/2024 20:00;2302
2109,2024-03-28 21:00:00-05:00,2024-03-28 21:00:00,28/03/2024 21:00;2095
2110,2024-03-28 22:00:00-05:00,2024-03-28 22:00:00,28/03/2024 22:00;1188
2111,2024-03-28 23:00:00-05:00,2024-03-28 23:00:00,28/03/2024 23:00;619
2112,2024-03-29 00:00:00-05:00,2024-03-29 00:00:00,29/03/2024 00:00;529
2113,2024-03-29 01:00:00-05:00,2024-03-29 01:00:00,29/03/2024 01:00;495
2114,2024-03-29 02:00:00-05:00,2024-03-29 02:00:00,29/03/2024 02:00;480
2115,2024-03-29 03:00:00-05:00,2024-03-29 03:00:00,29/03/2024 03:00;492
2116,2024-03-29 04:00:00-05:00,2024-03-29 04:00:00,29/03/2024 04:00;485
2117,2024-03-29 05:00:00-05:00,2024-03-29 05:00:00,29/03/2024 05:00;460
2118,2024-03-29 06:00:00-05:00,2024-03-29 06:00:00,29/03/2024 06:00;488
2119,2024-03-29 07:00:00-05:00,2024-03-29 07:00:00,29/03/2024 07:00;622
2120,2024-03-29 08:00:00-05:00,2024-03-29 08:00:00,29/03/2024 08:00;886
2121,2024-03-29 09:00:00-05:00,2024-03-29 09:00:00,29/03/2024 09:00;1247
2122,2024-03-29 10:00:00-05:00,2024-03-29 10:00:00,29/03/2024 10:00;1833
2123,2024-03-29 11:00:00-05:00,2024-03-29 11:00:00,29/03/2024 11:00;2426
2124,2024-03-29 12:00:00-05:00,2024-03-29 12:00:00,29/03/2024 12:00;2432
2125,2024-03-29 13:00:00-05:00,2024-03-29 13:00:00,29/03/2024 13:00;2428
2126,2024-03-29 14:00:00-05:00,2024-03-29 14:00:00,29/03/2024 14:00;2442
2127,2024-03-29 15:00:00-05:00,2024-03-29 15:00:00,29/03/2024 15:00;2504
2128,2024-03-29 16:00:00-05:00,2024-03-29 16:00:00,29/03/2024 16:00;2392
2129,2024-03-29 17:00:00-05:00,2024-03-29 17:00:00,29/03/2024 17:00;2273
2130,2024-03-29 18:00:00-05:00,2024-03-29 18:00:00,29/03/2024 18:00;2150
2131,2024-03-29 19:00:00-05:00,2024-03-29 19:00:00,29/03/2024 19:00;2082
2132,2024-03-29 20:00:00-05:00,2024-03-29 20:00:00,29/03/2024 20:00;2072
2133,2024-03-29 21:00:00-05:00,2024-03-29 21:00:00,29/03/2024 21:00;1951
2134,2024-03-29 22:00:00-05:00,2024-03-29 22:00:00,29/03/2024 22:00;1054
2135,2024-03-29 23:00:00-05:00,2024-03-29 23:00:00,29/03/2024 23:00;526
2136,2024-03-30 00:00:00-05:00,2024-03-30 00:00:00,30/03/2024 00:00;453
2137,2024-03-30 01:00:00-05:00,2024-03-30 01:00:00,30/03/2024 01:00;428
2138,2024-03-30 02:00:00-05:00,2024-03-30 02:00:00,30/03/2024 02:00;428
2139,2024-03-30 03:00:00-05:00,2024-03-30 03:00:00,30/03/2024 03:00;429
2140,2024-03-30 04:00:00-05:00,2024-03-30 04:00:00,30/03/2024 04:00;425
2141,2024-03-30 05:00:00-05:00,2024-03-30 05:00:00,30/03/2024 05:00;403
2142,2024-03-30 06:00:00-05:00,2024-03-30 06:00:00,30/03/2024 06:00;447
2143,2024-03-30 07:00:00-05:00,2024-03-30 07:00:00,30/03/2024 07:00;698
2144,2024-03-30 08:00:00-05:00,2024-03-30 08:00:00,30/03/2024 08:00;1054
2145,2024-03-30 09:00:00-05:00,2024-03-30 09:00:00,30/03/2024 09:00;1216
2146,2024-03-30 10:00:00-05:00,2024-03-30 10:00:00,30/03/2024 10:00;1773
2147,2024-03-30 11:00:00-05:00,2024-03-30 11:00:00,30/03/2024 11:00;2321
2148,2024-03-30 12:00:00-05:00,2024-03-30 12:00:00,30/03/2024 12:00;2356
2149,2024-03-30 13:00:00-05:00,2024-03-30 13:00:00,30/03/2024 13:00;2363
2150,2024-03-30 14:00:00-05:00,2024-03-30 14:00:00,30/03/2024 14:00;2377
2151,2024-03-30 15:00:00-05:00,2024-03-30 15:00:00,30/03/2024 15:00;2337
2152,2024-03-30 16:00:00-05:00,2024-03-30 16:00:00,30/03/2024 16:00;2256
2153,2024-03-30 17:00:00-05:00,2024-03-30 17:00:00,30/03/2024 17:00;2239
2154,2024-03-30 18:00:00-05:00,2024-03-30 18:00:00,30/03/2024 18:00;2143
2155,2024-03-30 19:00:00-05:00,2024-03-30 19:00:00,30/03/2024 19:00;2122
2156,2024-03-30 20:00:00-05:00,2024-03-30 20:00:00,30/03/2024 20:00;2086
2157,2024-03-30 21:00:00-05:00,2024-03-30 21:00:00,30/03/2024 21:00;2003
2158,2024-03-30 22:00:00-05:00,2024-03-30 22:00:00,30/03/2024 22:00;1147
2159,2024-03-30 23:00:00-05:00,2024-03-30 23:00:00,30/03/2024 23:00;540
2160,2024-03-31 00:00:00-05:00,2024-03-31 00:00:00,31/03/2024 00:00;467
2161,2024-03-31 01:00:00-05:00,2024-03-31 01:00:00,31/03/2024 01:00;442
2162,2024-03-31 02:00:00-05:00,2024-03-31 02:00:00,31/03/2024 02:00;449
2163,2024-03-31 03:00:00-05:00,2024-03-31 03:00:00,31/03/2024 03:00;439
2164,2024-03-31 04:00:00-05:00,2024-03-31 04:00:00,31/03/2024 04:00;418
2165,2024-03-31 05:00:00-05:00,2024-03-31 05:00:00,31/03/2024 05:00;412
2166,2024-03-31 06:00:00-05:00,2024-03-31 06:00:00,31/03/2024 06:00;475
2167,2024-03-31 07:00:00-05:00,2024-03-31 07:00:00,31/03/2024 07:00;584
2168,2024-03-31 08:00:00-05:00,2024-03-31 08:00:00,31/03/2024 08:00;752
2169,2024-03-31 09:00:00-05:00,2024-03-31 09:00:00,31/03/2024 09:00;1206
2170,2024-03-31 10:00:00-05:00,2024-03-31 10:00:00,31/03/2024 10:00;1636
2171,2024-03-31 11:00:00-05:00,2024-03-31 11:00:00,31/03/2024 11:00;2185
2172,2024-03-31 12:00:00-05:00,2024-03-31 12:00:00,31/03/2024 12:00;2271
