agent,checkpoint,checkpoint_steps,episodes,total_timesteps,duration_seconds,speed_steps_per_sec,device,final_reward,best_reward,mean_reward,std_reward,validation_mean_reward,validation_mean_co2_avoided,validation_mean_solar,validation_grid_import,final_co2,best_co2,mean_co2,mean_solar,mean_grid_import,learning_rate,gamma,lambda,n_steps,batch_size,convergence_pct,co2_reduction_pct
A2C,a2c_final_model.zip,0,10,87600,176.43810415267944,496.4913923819765,cuda,3036.8195132017136,3036.8195132017136,2725.0944184080336,324.5320449609278,3062.615395592959,4428720.0139274765,8292514.130952835,4680326.5,2115420.5,2104618.5,2200222.475,8292514.130952835,4866683.15,0.0003,0.99,0.95,16,0,59.76464249005412,50.94577079365731
PPO,ppo_final.zip,0,10,87600,175.62231492996216,498.7976615325604,cuda,1014.4396344313809,1014.4396344313809,818.5515865845384,129.28352867156678,659.3463998114108,4409363.781132176,8292514.130952835,5335239.364672089,2738263.0,2738263.0,3074700.85,8292514.130952835,6800927.134374904,0.0001,0.88,0.97,4096,256,60.649386819341714,31.449168458822914
SAC,sac_model_final_20260216_211845.zip,0,0,0,0.0,0.0,N/A,0.67392373,0.6754239,0.6687131290000001,0.016475956194467394,0.0,0.0,0.0,0.0,2940169.316554878,2586089.8501723753,2904377.644209026,8203690.092111206,6424192.975467846,0.0,0.0,0.0,0,0,-0.22210792363135384,35.246545165480505
