agent,steps,reward_env_mean,reward_total_mean,penalty_total_mean
A2C,8760,0.5922391467540302,-0.1759463177613862,0.1804224719978145
PPO,8760,0.5922391467540302,-0.1759463177613862,0.1804224719978145
Uncontrolled,0,,0.0,0.0
