outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
25.51,82.0,0.0,0.0,24.79,25.13,25.23,82.0,82.0,82.0,0.0,84.78,0.0,0.0,103.619995,0.0
25.29,82.0,0.0,0.0,24.26,24.96,24.77,82.0,82.0,82.0,0.0,154.44,0.0,0.0,188.76001,0.0
25.43,82.0,0.0,0.0,24.1,26.15,25.05,82.0,82.0,82.0,0.0,189.9675,0.0,0.0,232.1825,0.0
25.09,82.0,0.0,0.0,23.99,26.48,24.82,82.0,82.0,82.0,0.0,278.95502,0.0,0.0,340.945,0.0
24.99,82.0,0.0,0.0,23.91,27.57,24.26,82.0,82.0,82.0,0.0,326.63248,0.0,0.0,399.2175,0.0
24.77,82.0,0.0,0.0,23.37,28.79,23.91,82.0,82.0,82.0,17.0775,209.8575,0.0,20.872501,256.49252,0.0
24.79,82.0,0.0,0.0,25.13,27.63,24.02,82.0,82.0,82.0,84.78,218.47499,0.0,103.619995,267.025,0.0
24.26,82.0,0.0,0.0,24.96,28.25,23.44,82.0,82.0,82.0,154.44,235.5525,0.0,188.76001,287.89752,0.0
24.1,82.0,0.0,0.0,26.15,27.72,23.29,82.0,82.0,82.0,189.9675,193.0725,0.0,232.1825,235.9775,0.0
23.99,82.0,0.0,0.0,26.48,26.66,23.25,82.0,82.0,82.0,278.95502,66.96,0.0,340.945,81.840004,0.0
23.91,82.0,0.0,0.0,27.57,25.82,23.16,82.0,82.0,82.0,326.63248,22.41,0.0,399.2175,27.39,0.0
23.37,82.0,17.0775,20.872501,28.79,25.53,23.11,82.0,82.0,82.0,209.8575,0.022499999,16.965,256.49252,0.027500002,20.735
25.13,82.0,84.78,103.619995,27.63,25.23,23.67,82.0,82.0,82.0,218.47499,0.0,107.505,267.025,0.0,131.395
24.96,82.0,154.44,188.76001,28.25,24.77,24.78,82.0,82.0,82.0,235.5525,0.0,172.53,287.89752,0.0,210.87
26.15,82.0,189.9675,232.1825,27.72,25.05,25.92,82.0,82.0,82.0,193.0725,0.0,181.0575,235.9775,0.0,221.29251
26.48,82.0,278.95502,340.945,26.66,24.82,26.49,82.0,82.0,82.0,66.96,0.0,248.94,81.840004,0.0,304.26
27.57,82.0,326.63248,399.2175,25.82,24.26,26.89,82.0,82.0,82.0,22.41,0.0,322.4925,27.39,0.0,394.15753
28.79,82.0,209.8575,256.49252,25.53,23.91,27.71,82.0,82.0,82.0,0.022499999,0.0,273.1725,0.027500002,0.0,333.8775
27.63,82.0,218.47499,267.025,25.23,24.02,28.48,82.0,82.0,82.0,0.0,0.0,142.94249,0.0,0.0,174.7075
28.25,82.0,235.5525,287.89752,24.77,23.44,26.12,82.0,82.0,82.0,0.0,0.0,169.89749,0.0,0.0,207.6525
27.72,82.0,193.0725,235.9775,25.05,23.29,26.87,82.0,82.0,82.0,0.0,0.0,118.799995,0.0,0.0,145.2
26.66,82.0,66.96,81.840004,24.82,23.25,26.16,82.0,82.0,82.0,0.0,0.0,93.149994,0.0,0.0,113.850006
25.82,82.0,22.41,27.39,24.26,23.16,25.68,82.0,82.0,82.0,0.0,0.0,26.46,0.0,0.0,32.34
25.53,82.0,0.022499999,0.027500002,23.91,23.11,24.43,82.0,82.0,82.0,0.0,16.965,0.044999998,0.0,20.735,0.055000003
25.23,82.0,0.0,0.0,24.02,23.67,24.6,82.0,82.0,82.0,0.0,107.505,0.0,0.0,131.395,0.0
24.77,82.0,0.0,0.0,23.44,24.78,24.45,82.0,82.0,82.0,0.0,172.53,0.0,0.0,210.87,0.0
25.05,82.0,0.0,0.0,23.29,25.92,24.3,82.0,82.0,82.0,0.0,181.0575,0.0,0.0,221.29251,0.0
24.82,82.0,0.0,0.0,23.25,26.49,24.05,82.0,82.0,82.0,0.0,248.94,0.0,0.0,304.26,0.0
24.26,82.0,0.0,0.0,23.16,26.89,24.15,82.0,82.0,82.0,0.0,322.4925,0.0,0.0,394.15753,0.0
23.91,82.0,0.0,0.0,23.11,27.71,24.27,82.0,82.0,82.0,16.965,273.1725,0.0,20.735,333.8775,0.0
24.02,82.0,0.0,0.0,23.67,28.48,24.18,82.0,82.0,82.0,107.505,142.94249,0.0,131.395,174.7075,0.0
23.44,82.0,0.0,0.0,24.78,26.12,23.39,82.0,82.0,82.0,172.53,169.89749,0.0,210.87,207.6525,0.0
23.29,82.0,0.0,0.0,25.92,26.87,23.31,82.0,82.0,82.0,181.0575,118.799995,0.0,221.29251,145.2,0.0
23.25,82.0,0.0,0.0,26.49,26.16,23.37,82.0,82.0,82.0,248.94,93.149994,0.0,304.26,113.850006,0.0
23.16,82.0,0.0,0.0,26.89,25.68,23.39,82.0,82.0,82.0,322.4925,26.46,0.0,394.15753,32.34,0.0
23.11,82.0,16.965,20.735,27.71,24.43,23.44,82.0,82.0,82.0,273.1725,0.044999998,21.0375,333.8775,0.055000003,25.7125
23.67,82.0,107.505,131.395,28.48,24.6,23.84,82.0,82.0,82.0,142.94249,0.0,76.7475,174.7075,0.0,93.802505
24.78,82.0,172.53,210.87,26.12,24.45,24.7,82.0,82.0,82.0,169.89749,0.0,100.395,207.6525,0.0,122.70501
25.92,82.0,181.0575,221.29251,26.87,24.3,25.48,82.0,82.0,82.0,118.799995,0.0,137.76749,145.2,0.0,168.3825
26.49,82.0,248.94,304.26,26.16,24.05,26.51,82.0,82.0,82.0,93.149994,0.0,160.875,113.850006,0.0,196.625
26.89,82.0,322.4925,394.15753,25.68,24.15,27.01,82.0,82.0,82.0,26.46,0.0,310.54498,32.34,0.0,379.555
27.71,82.0,273.1725,333.8775,24.43,24.27,28.67,82.0,82.0,82.0,0.044999998,0.0,400.86,0.055000003,0.0,489.94
28.48,82.0,142.94249,174.7075,24.6,24.18,29.81,82.0,82.0,82.0,0.0,0.0,267.14252,0.0,0.0,326.5075
26.12,82.0,169.89749,207.6525,24.45,23.39,27.19,82.0,82.0,82.0,0.0,0.0,188.39249,0.0,0.0,230.2575
26.87,82.0,118.799995,145.2,24.3,23.31,27.07,82.0,82.0,82.0,0.0,0.0,165.28499,0.0,0.0,202.015
26.16,82.0,93.149994,113.850006,24.05,23.37,26.3,82.0,82.0,82.0,0.0,0.0,98.909996,0.0,0.0,120.89001
25.68,82.0,26.46,32.34,24.15,23.39,26.17,82.0,82.0,82.0,0.0,0.0,35.774998,0.0,0.0,43.725002
24.43,82.0,0.044999998,0.055000003,24.27,23.44,25.54,82.0,82.0,82.0,0.0,21.0375,0.089999996,0.0,25.7125,0.11000001
24.6,82.0,0.0,0.0,24.18,23.84,25.36,82.0,82.0,82.0,0.0,76.7475,0.0,0.0,93.802505,0.0
24.45,82.0,0.0,0.0,23.39,24.7,25.07,82.0,82.0,82.0,0.0,100.395,0.0,0.0,122.70501,0.0
24.3,82.0,0.0,0.0,23.31,25.48,25.02,82.0,82.0,82.0,0.0,137.76749,0.0,0.0,168.3825,0.0
24.05,82.0,0.0,0.0,23.37,26.51,24.91,82.0,82.0,82.0,0.0,160.875,0.0,0.0,196.625,0.0
24.15,82.0,0.0,0.0,23.39,27.01,24.79,82.0,82.0,82.0,0.0,310.54498,0.0,0.0,379.555,0.0
24.27,82.0,0.0,0.0,23.44,28.67,24.67,82.0,82.0,82.0,21.0375,400.86,0.0,25.7125,489.94,0.0
24.18,82.0,0.0,0.0,23.84,29.81,24.54,82.0,82.0,82.0,76.7475,267.14252,0.0,93.802505,326.5075,0.0
23.39,82.0,0.0,0.0,24.7,27.19,24.52,82.0,82.0,82.0,100.395,188.39249,0.0,122.70501,230.2575,0.0
23.31,82.0,0.0,0.0,25.48,27.07,24.47,82.0,82.0,82.0,137.76749,165.28499,0.0,168.3825,202.015,0.0
23.37,82.0,0.0,0.0,26.51,26.3,24.42,82.0,82.0,82.0,160.875,98.909996,0.0,196.625,120.89001,0.0
23.39,82.0,0.0,0.0,27.01,26.17,24.42,82.0,82.0,82.0,310.54498,35.774998,0.0,379.555,43.725002,0.0
23.44,82.0,21.0375,25.7125,28.67,25.54,24.16,82.0,82.0,82.0,400.86,0.089999996,8.28,489.94,0.11000001,10.12
23.84,82.0,76.7475,93.802505,29.81,25.36,24.35,82.0,82.0,82.0,267.14252,0.0,37.260002,326.5075,0.0,45.54
24.7,82.0,100.395,122.70501,27.19,25.07,24.95,82.0,82.0,82.0,188.39249,0.0,32.67,230.2575,0.0,39.93
25.48,82.0,137.76749,168.3825,27.07,25.02,24.74,82.0,82.0,82.0,165.28499,0.0,74.0925,202.015,0.0,90.557495
26.51,82.0,160.875,196.625,26.3,24.91,24.68,82.0,82.0,82.0,98.909996,0.0,222.12,120.89001,0.0,271.48
27.01,82.0,310.54498,379.555,26.17,24.79,25.74,82.0,82.0,82.0,35.774998,0.0,144.78749,43.725002,0.0,176.96251
28.67,82.0,400.86,489.94,25.54,24.67,25.79,82.0,82.0,82.0,0.089999996,0.0,227.15999,0.11000001,0.0,277.63998
29.81,82.0,267.14252,326.5075,25.36,24.54,26.86,82.0,82.0,82.0,0.0,0.0,312.12,0.0,0.0,381.47998
27.19,82.0,188.39249,230.2575,25.07,24.52,27.78,82.0,82.0,82.0,0.0,0.0,250.29,0.0,0.0,305.91
27.07,82.0,165.28499,202.015,25.02,24.47,27.9,82.0,82.0,82.0,0.0,0.0,205.7175,0.0,0.0,251.4325
26.3,82.0,98.909996,120.89001,24.91,24.42,28.21,82.0,82.0,82.0,0.0,0.0,120.465004,0.0,0.0,147.23502
26.17,82.0,35.774998,43.725002,24.79,24.42,26.83,82.0,82.0,82.0,0.0,0.0,33.4125,0.0,0.0,40.8375
25.54,82.0,0.089999996,0.11000001,24.67,24.16,26.31,82.0,82.0,82.0,0.0,8.28,0.089999996,0.0,10.12,0.11000001
25.36,82.0,0.0,0.0,24.54,24.35,25.92,82.0,82.0,82.0,0.0,37.260002,0.0,0.0,45.54,0.0
25.07,82.0,0.0,0.0,24.52,24.95,25.5,82.0,82.0,82.0,0.0,32.67,0.0,0.0,39.93,0.0
25.02,82.0,0.0,0.0,24.47,24.74,25.13,82.0,82.0,82.0,0.0,74.0925,0.0,0.0,90.557495,0.0
24.91,82.0,0.0,0.0,24.42,24.68,24.74,82.0,82.0,82.0,0.0,222.12,0.0,0.0,271.48,0.0
24.79,82.0,0.0,0.0,24.42,25.74,24.45,82.0,82.0,82.0,0.0,144.78749,0.0,0.0,176.96251,0.0
24.67,82.0,0.0,0.0,24.16,25.79,24.26,82.0,82.0,82.0,8.28,227.15999,0.0,10.12,277.63998,0.0
24.54,82.0,0.0,0.0,24.35,26.86,24.09,82.0,82.0,82.0,37.260002,312.12,0.0,45.54,381.47998,0.0
24.52,82.0,0.0,0.0,24.95,27.78,24.11,82.0,82.0,82.0,32.67,250.29,0.0,39.93,305.91,0.0
24.47,82.0,0.0,0.0,24.74,27.9,24.11,82.0,82.0,82.0,74.0925,205.7175,0.0,90.557495,251.4325,0.0
24.42,82.0,0.0,0.0,24.68,28.21,24.08,82.0,82.0,82.0,222.12,120.465004,0.0,271.48,147.23502,0.0
24.42,82.0,0.0,0.0,25.74,26.83,24.08,82.0,82.0,82.0,144.78749,33.4125,0.0,176.96251,40.8375,0.0
24.16,82.0,8.28,10.12,25.79,26.31,23.67,82.0,82.0,82.0,227.15999,0.089999996,16.515,277.63998,0.11000001,20.185001
24.35,82.0,37.260002,45.54,26.86,25.92,24.34,82.0,82.0,82.0,312.12,0.0,76.725,381.47998,0.0,93.775
24.95,82.0,32.67,39.93,27.78,25.5,25.41,82.0,82.0,82.0,250.29,0.0,109.755,305.91,0.0,134.145
24.74,82.0,74.0925,90.557495,27.9,25.13,25.76,82.0,82.0,82.0,205.7175,0.0,163.2825,251.4325,0.0,199.5675
24.68,82.0,222.12,271.48,28.21,24.74,26.54,82.0,82.0,82.0,120.465004,0.0,133.605,147.23502,0.0,163.295
25.74,82.0,144.78749,176.96251,26.83,24.45,25.63,82.0,82.0,82.0,33.4125,0.0,95.354996,40.8375,0.0,116.545
25.79,82.0,227.15999,277.63998,26.31,24.26,25.34,82.0,82.0,82.0,0.089999996,0.0,260.145,0.11000001,0.0,317.955
26.86,82.0,312.12,381.47998,25.92,24.09,26.81,82.0,82.0,82.0,0.0,0.0,262.1025,0.0,0.0,320.3475
27.78,82.0,250.29,305.91,25.5,24.11,27.88,82.0,82.0,82.0,0.0,0.0,272.0025,0.0,0.0,332.4475
27.9,82.0,205.7175,251.4325,25.13,24.11,28.45,82.0,82.0,82.0,0.0,0.0,203.04,0.0,0.0,248.16002
28.21,82.0,120.465004,147.23502,24.74,24.08,28.33,82.0,82.0,82.0,0.0,0.0,102.91499,0.0,0.0,125.785
26.83,82.0,33.4125,40.8375,24.45,24.08,27.56,82.0,82.0,82.0,0.0,0.0,34.9875,0.0,0.0,42.7625
26.31,82.0,0.089999996,0.11000001,24.26,23.67,26.67,82.0,82.0,82.0,0.0,16.515,0.089999996,0.0,20.185001,0.11000001
25.92,82.0,0.0,0.0,24.09,24.34,26.43,82.0,82.0,82.0,0.0,76.725,0.0,0.0,93.775,0.0
25.5,82.0,0.0,0.0,24.11,25.41,26.14,82.0,82.0,82.0,0.0,109.755,0.0,0.0,134.145,0.0
25.13,82.0,0.0,0.0,24.11,25.76,25.66,82.0,82.0,82.0,0.0,163.2825,0.0,0.0,199.5675,0.0
24.74,82.0,0.0,0.0,24.08,26.54,25.32,82.0,82.0,82.0,0.0,133.605,0.0,0.0,163.295,0.0
24.45,82.0,0.0,0.0,24.08,25.63,25.01,82.0,82.0,82.0,0.0,95.354996,0.0,0.0,116.545,0.0
24.26,82.0,0.0,0.0,23.67,25.34,24.79,82.0,82.0,82.0,16.515,260.145,0.0,20.185001,317.955,0.0
24.09,82.0,0.0,0.0,24.34,26.81,24.21,82.0,82.0,82.0,76.725,262.1025,0.0,93.775,320.3475,0.0
24.11,82.0,0.0,0.0,25.41,27.88,24.16,82.0,82.0,82.0,109.755,272.0025,0.0,134.145,332.4475,0.0
24.11,82.0,0.0,0.0,25.76,28.45,24.03,82.0,82.0,82.0,163.2825,203.04,0.0,199.5675,248.16002,0.0
24.08,82.0,0.0,0.0,26.54,28.33,24.06,82.0,82.0,82.0,133.605,102.91499,0.0,163.295,125.785,0.0
24.08,82.0,0.0,0.0,25.63,27.56,24.1,82.0,82.0,82.0,95.354996,34.9875,0.0,116.545,42.7625,0.0
23.67,82.0,16.515,20.185001,25.34,26.67,24.13,82.0,82.0,82.0,260.145,0.089999996,12.1725,317.955,0.11000001,14.8775
24.34,82.0,76.725,93.775,26.81,26.43,24.75,82.0,82.0,82.0,262.1025,0.0,68.80499,320.3475,0.0,84.095
25.41,82.0,109.755,134.145,27.88,26.14,25.31,82.0,82.0,82.0,272.0025,0.0,135.8775,332.4475,0.0,166.07251
25.76,82.0,163.2825,199.5675,28.45,25.66,26.15,82.0,82.0,82.0,203.04,0.0,235.79999,248.16002,0.0,288.2
26.54,82.0,133.605,163.295,28.33,25.32,27.14,82.0,82.0,82.0,102.91499,0.0,252.67499,125.785,0.0,308.825
