is_hora_punta,tarifa_soles_kwh,mall_cost_soles,mall_co2_indirect_kg
1,0.4616,955.0504,1201.0546
1,0.4616,943.0488,1185.9615
1,0.4616,923.2,1161.0
1,0.4616,843.8048,1061.154
1,0.4616,526.6856,662.3505
0,0.2916,202.0788,270.54718
0,0.2916,180.5004,241.6576
0,0.2916,172.33559,230.7264
0,0.2916,172.33559,230.7264
0,0.2916,166.21199,222.528
0,0.2916,159.2136,213.1584
0,0.2916,159.2136,213.1584
0,0.2916,179.334,240.096
0,0.2916,222.4908,297.87518
0,0.2916,282.2688,377.9072
0,0.2916,311.7204,417.3376
0,0.2916,483.76437,647.6736
0,0.2916,609.1524,815.5456
0,0.2916,633.0636,847.5584
0,0.2916,628.1064,840.9216
0,0.2916,638.89557,855.3664
0,0.2916,656.1,878.39996
0,0.2916,657.84955,880.7424
0,0.2916,645.01917,863.56476
1,0.4616,1022.44403,1285.8075
1,0.4616,1005.8264,1264.9095
1,0.4616,994.28644,1250.397
1,0.4616,889.9648,1119.204
1,0.4616,524.3776,659.448
0,0.2916,202.37039,270.9376
0,0.2916,181.3752,242.8288
0,0.2916,149.2992,199.8848
0,0.2916,137.3436,183.8784
0,0.2916,135.3024,181.1456
0,0.2916,132.09479,176.8512
0,0.2916,124.804794,167.0912
0,0.2916,135.3024,181.1456
0,0.2916,240.56999,322.08
0,0.2916,311.4288,416.9472
0,0.2916,359.5428,481.3632
0,0.2916,541.7928,725.36316
0,0.2916,682.05237,913.14557
0,0.2916,693.1332,927.9808
0,0.2916,697.2156,933.4464
0,0.2916,698.0904,934.61755
0,0.2916,684.3852,916.2688
0,0.2916,685.8432,918.22076
0,0.2916,674.1792,902.6048
1,0.4616,1038.6,1306.125
1,0.4616,1016.44324,1278.261
1,0.4616,978.13043,1230.0795
1,0.4616,848.42084,1066.959
1,0.4616,505.9136,636.228
0,0.2916,211.40999,283.04
0,0.2916,187.2072,250.6368
0,0.2916,174.3768,233.4592
0,0.2916,176.7096,236.5824
