,total_timesteps,episodes,duration_seconds,speed_steps_per_sec,learning_rate,gamma,gae_lambda,final_reward,best_reward,avg_reward,final_co2_grid,best_co2_grid,avg_co2_grid,mean_reward,mean_co2_avoided_kg,mean_grid_import_kwh,mean_solar_kwh
A2C,87600.0,10.0,176.43810415267944,496.4913923819765,0.0003,0.99,0.95,3036.8195132017136,3036.8195132017136,2725.0944184080336,2115420.5,2104618.5,2200222.475,3062.615395592959,4428720.0139274765,4680326.5,8292514.130952835
PPO,87600.0,10.0,175.62231492996216,498.7976615325604,0.0001,0.88,0.97,1014.4396344313809,1014.4396344313809,818.5515865845384,2738263.0,2738263.0,3074700.85,659.3463998114108,4409363.781132176,5335239.364672089,8292514.130952835
SAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067440094,0.006759009,0.006691410159999999,2938950.101033518,2586153.478448957,2904215.81485737,0.0,0.0,0.0,0.0
