hour,factor,energy_kwh,power_kw,is_peak
0,0.0,0.0,0.0,False
1,0.0,0.0,0.0,False
2,0.0,0.0,0.0,False
3,0.0,0.0,0.0,False
4,0.0,0.0,0.0,False
5,0.0,0.0,0.0,False
6,0.0,0.0,0.0,False
7,0.0,0.0,0.0,False
8,0.0,0.0,0.0,False
9,0.0,0.0,0.0,False
10,0.004286694101508916,0.8353909465020576,0.8353909465020576,False
11,0.01577503429355281,3.074238683127572,3.074238683127572,False
12,0.032407407407407406,6.315555555555556,6.315555555555556,False
13,0.05212620027434842,10.158353909465022,10.158353909465022,False
14,0.07287379972565158,14.201646090534982,14.201646090534982,False
15,0.09259259259259259,18.044444444444444,18.044444444444444,False
16,0.10922496570644719,21.28576131687243,21.28576131687243,False
17,0.12071330589849108,23.524609053497944,23.524609053497944,False
18,0.125,24.360000000000003,24.360000000000003,True
19,0.125,24.360000000000003,24.360000000000003,True
20,0.125,24.360000000000003,24.360000000000003,True
21,0.125,24.360000000000003,24.360000000000003,True
22,0.0,0.0,0.0,False
23,0.0,0.0,0.0,False
