Month,Hour,Day Type,solar_generation
1,0,1,0.0
1,1,1,0.0
1,2,1,0.0
1,3,1,0.0
1,4,1,0.0
1,5,1,0.0
1,6,1,0.0
1,7,1,0.0
1,8,1,0.0
1,9,1,0.0
1,10,1,0.0
1,11,1,0.06850325472112354
1,12,1,0.20515251266291418
1,13,1,0.33549147175838123
1,14,1,0.48786343273745436
1,15,1,0.5643156377533847
1,16,1,0.5356721710322956
1,17,1,0.39706478097425324
1,18,1,0.23519744332381923
1,19,1,0.24388781236012194
1,20,1,0.22070011207758636
1,21,1,0.10084440711660682
1,22,1,0.014968463746626557
1,23,1,0.0
1,0,2,0.0
1,1,2,0.0
1,2,2,0.0
1,3,2,0.0
1,4,2,0.0
1,5,2,0.0
1,6,2,0.0
1,7,2,0.0
1,8,2,0.0
1,9,2,0.0
1,10,2,0.0
1,11,2,0.02456062213470584
1,12,2,0.09201974907399722
1,13,2,0.2333425301445652
1,14,2,0.4205948536243805
1,15,2,0.5728284472093453
1,16,2,0.605750434147326
1,17,2,0.46015275942109196
1,18,2,0.30407107176478304
1,19,2,0.3277018971673152
1,20,2,0.23742655371921187
1,21,2,0.1276327481738609
1,22,2,0.019490600049420256
1,23,2,0.0
1,0,3,0.0
1,1,3,0.0
1,2,3,0.0
1,3,3,0.0
1,4,3,0.0
1,5,3,0.0
1,6,3,0.0
1,7,3,0.0
1,8,3,0.0
1,9,3,0.0
1,10,3,0.0
1,11,3,0.06290461460166462
1,12,3,0.21927542418020607
1,13,3,0.3587422035805454
1,14,3,0.48207966803775887
1,15,3,0.6358787064353032
1,16,3,0.6046997371808598
1,17,3,0.47107430623109703
1,18,3,0.4929605019303293
1,19,3,0.4739080934972931
1,20,3,0.29187113185958136
1,21,3,0.08887036266128326
1,22,3,0.011474899673486817
1,23,3,0.0
1,0,4,0.0
1,1,4,0.0
1,2,4,0.0
1,3,4,0.0
1,4,4,0.0
1,5,4,0.0
1,6,4,0.0
1,7,4,0.0
1,8,4,0.0
1,9,4,0.0
1,10,4,0.0
1,11,4,0.06464057904888547
1,12,4,0.24891628798482127
1,13,4,0.3802301454579306
1,14,4,0.4575890363509961
1,15,4,0.5986310548333701
1,16,4,0.6498205144902787
1,17,4,0.4957848321158407
1,18,4,0.3471754099581946
1,19,4,0.33969561031346757
1,20,4,0.2401898186230122
1,21,4,0.13480514002181135
1,22,4,0.017981636530780137
1,23,4,0.0
1,0,5,0.0
1,1,5,0.0
1,2,5,0.0
1,3,5,0.0
1,4,5,0.0
1,5,5,0.0
1,6,5,0.0
1,7,5,0.0
1,8,5,0.0
1,9,5,0.0
1,10,5,0.0
1,11,5,0.06327915176574753
1,12,5,0.1774872660703642
1,13,5,0.248927757603962
1,14,5,0.3283757532236639
1,15,5,0.47630396178891454
1,16,5,0.6650693366972751
1,17,5,0.6579962138690869
1,18,5,0.514938685196744
1,19,5,0.39092879804889946
1,20,5,0.2943660765027948
1,21,5,0.14351291790931292
1,22,5,0.022159757217990076
1,23,5,0.0
1,0,6,0.0
1,1,6,0.0
1,2,6,0.0
1,3,6,0.0
1,4,6,0.0
1,5,6,0.0
1,6,6,0.0
1,7,6,0.0
1,8,6,0.0
1,9,6,0.0
1,10,6,0.0
1,11,6,0.0276492592805369
1,12,6,0.06987736135914796
1,13,6,0.104239855264651
1,14,6,0.2839706162498785
1,15,6,0.437990685665216
1,16,6,0.39766099447287295
1,17,6,0.5712246437109556
1,18,6,0.6226570744723271
1,19,6,0.5070300676514394
1,20,6,0.3574765779591628
1,21,6,0.15462297879344228
1,22,6,0.019671831748987435
1,23,6,0.0
1,0,7,0.0
1,1,7,0.0
1,2,7,0.0
1,3,7,0.0
1,4,7,0.0
1,5,7,0.0
1,6,7,0.0
1,7,7,0.0
1,8,7,0.0
1,9,7,0.0
1,10,7,0.0
