agent,step,mean_reward,episode_co2_kg,episode_grid_kwh,episode_solar_kwh,episode_co2_indirect_kg,episode_co2_direct_kg,episode_co2_total_avoided_kg,episode_co2_net_kg
sac,37,12.0,1958.1470977500912,4331.225608825684,31762.765663146973,15595.987756308741,3970.1000000000026,19566.087756308745,-17607.94065855865
sac,127,29.0,8454.347121764375,18700.170585632324,67807.05319976807,33988.90205161517,9657.0,43645.90205161517,-35191.5549298508
sac,8886,3090.136527,739568.2586621208,1635851.0476932526,8029754.450460434,3974123.768053282,939840.7000001402,4913964.468053422,-4174396.2093913015
sac,17645,3090.136527,739509.8003888702,1635721.7438373566,8030059.312818527,3974261.5963253756,939840.7000001402,4914102.296325516,-4174592.4959366457
