hour,pv_kwh,ev_kwh,mall_kwh,pv_used_ev_kwh,pv_used_mall_kwh,bess_charge_kwh,bess_discharge_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_export_kwh,soc_percent,soc_kwh,load_kwh,net_balance_kwh,grid_import_kwh,mall_grid_import_kwh,ev_grid_import_kwh
0,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,82.97712311400791,1354.1866492206093,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
1,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,82.97712311400791,1354.1866492206093,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
2,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,82.97712311400791,1354.1866492206093,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
3,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,82.97712311400791,1354.1866492206093,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
4,0.0,11.882117733723067,788.0232558139535,0.0,0.0,0.0,0.0,11.882117733723067,788.0232558139535,0.0,82.97712311400791,1354.1866492206093,799.9053735476765,-799.9053735476765,799.9053735476765,788.0232558139535,11.882117733723067
5,366.771551565653,11.882117733723067,1050.6976744186047,11.882117733723067,78.38852939182296,276.500904440107,0.0,0.0,972.3091450267817,0.0,99.49058789177386,1623.6863943937492,1062.5797921523279,-695.8082405866749,972.3091450267817,972.3091450267817,0.0
6,623.5016577118206,11.882117733723067,1313.3720930232557,11.882117733723067,603.3059343718467,8.313605606250908,0.0,0.0,710.0661586514091,0.0,99.98710139733743,1631.789494804547,1325.2542107569789,-701.7525530451583,710.0661586514091,710.0661586514091,0.0
7,976.8479550990164,11.882117733723067,1576.046511627907,11.882117733723067,964.7553321698404,0.21050519545306473,0.0,0.0,611.2911794580667,0.0,99.99967340008618,1631.9946698894064,1587.92862936163,-611.0806742626137,611.2911794580667,611.2911794580667,0.0
8,1410.4695673896051,11.882117733723067,1838.7209302325582,11.882117733723067,1398.5821195452886,0.005330110593502383,0.0,0.0,440.13881068726994,0.0,99.9999917303055,1631.9998650385858,1850.6030479662816,-440.1334805766765,440.13881068726994,440.13881068726994,0.0
9,1876.9290574536346,12.65244308340683,1838.7209302325582,12.65244308340683,1820.511996727298,0.0001349614144240302,0.0,0.0,18.208933505260255,43.764482681515375,99.99999979060665,1631.9999965827005,1851.3733733159652,25.555684137669456,18.208933505260255,18.208933505260255,0.0
10,2301.8625368000885,17.804215543788352,1838.7209302325582,17.804215543788352,1838.7209302325582,3.4172993622210886e-06,0.0,0.0,0.0,445.33738760644235,99.99999999469804,1631.9999999134718,1856.5251457763468,445.3373910237417,0.0,0.0,0.0
